Index,Open,High,Low,Close,Volume,Adjusted
2010-01-04,131.18,132.97,130.85,132.45,6155300,121.19
2010-01-05,131.68,131.85,130.1,130.85,6841400,119.73
2010-01-06,130.68,131.49,129.81,130,5605300,118.95
2010-01-07,129.87,130.25,128.91,129.55,5840600,118.54
2010-01-08,129.07,130.92,129.05,130.85,4197200,119.73
2010-01-11,131.06,131.06,128.67,129.48,5730400,118.48
2010-01-12,129.03,131.33,129,130.51,8081500,119.42
2010-01-13,130.39,131.12,129.16,130.23,6455400,119.16
2010-01-14,130.55,132.71,129.91,132.31,7111800,121.07
2010-01-15,132.03,132.89,131.09,131.78,8494400,120.58
2010-01-19,131.63,134.25,131.56,134.14,13916200,122.74
2010-01-20,130.46,131.15,128.95,130.25,15197500,119.18
2010-01-21,130.47,130.69,128.06,129,9608600,118.04
2010-01-22,128.67,128.89,125.37,125.5,10088600,114.84
2010-01-25,126.33,126.89,125.71,126.12,5738500,115.4
2010-01-26,125.92,127.75,125.41,125.75,7135300,115.06
2010-01-27,125.82,126.96,125.04,126.33,8719200,115.59
2010-01-28,127.03,127.04,123.05,123.75,9622200,113.23
2010-01-29,124.32,125,121.9,122.39,11571200,111.99
2010-02-01,123.23,124.95,122.78,124.67,7242900,114.08
2010-02-02,124.79,125.81,123.95,125.53,5899900,114.86
2010-02-03,125.16,126.07,125.07,125.66,4177100,114.98
2010-02-04,125.19,125.44,122.9,123,9126900,112.55
2010-02-05,123.04,123.72,121.83,123.52,8617000,113.02
2010-02-08,123.15,123.22,121.74,121.88,5718500,112.02
2010-02-09,122.65,124.2,122.46,123.21,6044500,113.24
2010-02-10,122.94,123.65,122.21,122.81,5219100,112.88
2010-02-11,122.58,124.2,122.06,123.73,5089000,113.72
2010-02-12,123.01,124.05,121.61,124,8017700,113.97
2010-02-16,124.91,125.23,124.11,125.23,6777300,115.1
2010-02-17,125.5,126.53,125.21,126.33,5827400,116.11
2010-02-18,126.13,128,126,127.81,5525900,117.47
2010-02-19,127.35,128.06,126.87,127.19,6303100,116.9
2010-02-22,127.3,127.43,126.31,126.85,3808100,116.59
2010-02-23,126.48,127.66,126,126.46,4591900,116.23
2010-02-24,127.02,128.27,126.81,127.59,4782000,117.27
2010-02-25,126.05,127.24,125.57,127.07,5658700,116.79
2010-02-26,127.01,128,126.74,127.16,4784200,116.87
2010-03-01,127.5,128.83,127.47,128.57,4577700,118.17
2010-03-02,128.7,129.09,127.13,127.42,6013300,117.11
2010-03-03,127.73,128.02,126.68,126.88,6390000,116.62
2010-03-04,127.07,127.07,125.47,126.72,6032300,116.47
2010-03-05,127.17,127.55,127.04,127.25,6140200,116.96
2010-03-08,127.06,127.5,126.36,126.41,6199300,116.19
2010-03-09,126.27,126.29,125.2,125.55,7528800,115.4
2010-03-10,125.99,126.36,125.21,125.62,6916200,115.46
2010-03-11,125.71,127.81,125.71,127.6,7922200,117.28
2010-03-12,127.91,128.37,127.51,127.94,5169500,117.59
2010-03-15,127.4,128.34,127.28,127.83,4497700,117.49
2010-03-16,128,128.88,127.45,128.67,6134900,118.26
2010-03-17,128.9,128.93,127.36,127.76,6348400,117.43
2010-03-18,127.46,128.75,127.45,128.38,4954400,118
2010-03-19,127.71,128.93,126.78,127.71,10744300,117.38
2010-03-22,127.11,128.39,126.57,127.98,5651900,117.63
2010-03-23,127.94,129.43,127.64,129.37,5978500,118.91
2010-03-24,128.63,129.95,128.47,128.53,6669300,118.13
2010-03-25,129.36,130.73,129.13,129.24,7603200,118.79
2010-03-26,128.93,129.78,128.72,129.26,5550800,118.8
2010-03-29,129.3,129.95,128.26,128.59,4643000,118.19
2010-03-30,128.9,129.13,128.25,128.77,3426600,118.35
2010-03-31,128.23,128.75,127.65,128.25,4904800,117.88
2010-04-01,128.95,129.31,127.55,128.25,4980500,117.88
2010-04-05,128.38,129.8,128.14,129.35,4118700,118.89
2010-04-06,128.68,129.3,128.05,128.93,3926300,118.5
2010-04-07,128.53,129.27,128.01,128.48,5157000,118.09
2010-04-08,128.04,128.23,127.2,127.61,6006900,117.29
2010-04-09,127.88,128.87,127.12,128.76,5185100,118.35
2010-04-12,128.57,128.96,128.24,128.36,3992300,117.98
2010-04-13,128.26,129.43,127.84,129.03,6819100,118.59
2010-04-14,129.73,131.42,129.46,131.25,8545800,120.63
2010-04-15,130.53,131.14,130.19,130.89,6425300,120.3
2010-04-16,130.68,132.17,130.25,130.63,9546200,120.06
