Date, Close
2000-01-03,27.58
2000-01-04,25.25
2000-01-05,25.62
2000-01-06,23.4
2000-01-07,24.51
2000-01-10,24.08
2000-01-11,22.85
2000-01-12,21.48
2000-01-13,23.84
2000-01-14,24.74
2000-01-18,25.61
2000-01-19,26.25
2000-01-20,27.96
2000-01-21,27.42
2000-01-24,26.18
2000-01-25,27.65
2000-01-26,27.15
2000-01-27,27.1
2000-01-28,25.04
2000-01-31,25.56
2000-02-01,24.7
2000-02-02,24.34
2000-02-03,25.45
2000-02-04,26.61
2000-02-07,28.1
2000-02-08,28.3
2000-02-09,27.75
2000-02-10,27.96
2000-02-11,26.79
2000-02-14,28.53
2000-02-15,29.32
2000-02-16,28.12
2000-02-17,28.3
2000-02-18,27.41
2000-02-22,28.04
2000-02-23,28.64
2000-02-24,28.38
2000-02-25,27.19
2000-02-28,27.9
2000-02-29,28.24
2000-03-01,32.1
2000-03-02,30.06
2000-03-03,31.53
2000-03-06,30.97
2000-03-07,30.27
2000-03-08,30.06
2000-03-09,30.12
2000-03-10,30.98
2000-03-13,29.89
2000-03-14,28.15
2000-03-15,28.64
2000-03-16,29.95
2000-03-17,30.8
2000-03-20,30.3
2000-03-21,33.24
2000-03-22,35.52
2000-03-23,34.81
2000-03-24,34.17
2000-03-27,34.38
2000-03-28,34.28
2000-03-29,33.49
2000-03-30,30.98
2000-03-31,33.46
2000-04-03,32.84
2000-04-04,31.36
2000-04-05,32.12
2000-04-06,30.84
2000-04-07,32.46
2000-04-10,30.8
2000-04-11,29.43
2000-04-12,26.92
2000-04-13,28.04
2000-04-14,27.56
2000-04-17,30.52
2000-04-18,31.26
2000-04-19,29.84
2000-04-20,29.29
2000-04-24,29.69
2000-04-25,31.61
2000-04-26,29.89
2000-04-27,31.23
2000-04-28,30.56
2000-05-01,30.63
2000-05-02,29.04
2000-05-03,28.35
2000-05-04,27.27
2000-05-05,27.87
2000-05-08,27.13
2000-05-09,25.98
2000-05-10,24.47
2000-05-11,25.33
2000-05-12,26.51
2000-05-15,24.88
2000-05-16,26.04
2000-05-17,24.97
2000-05-18,24.82
2000-05-19,23.16
2000-05-22,22.16
2000-05-23,21.14
2000-05-24,21.6
2000-05-25,21.5
2000-05-26,21.28
2000-05-30,21.57
2000-05-31,20.69
2000-06-01,21.96
2000-06-02,22.8
2000-06-05,22.5
2000-06-06,22.88
2000-06-07,23.79
2000-06-08,23.36
2000-06-09,23.59
2000-06-12,22.47
2000-06-13,23.28
2000-06-14,22.28
2000-06-15,22.76
2000-06-16,22.47
2000-06-19,23.8
2000-06-20,24.94
2000-06-21,27.41
2000-06-22,26.48
2000-06-23,25.47
2000-06-26,26.67
2000-06-27,25.5
2000-06-28,26.82
2000-06-29,25.25
2000-06-30,25.81
2000-07-03,26.27
2000-07-05,25.44
2000-07-06,25.53
2000-07-07,26.82
2000-07-10,28.15
2000-07-11,28.06
2000-07-12,29.01
2000-07-13,27.84
2000-07-14,28.43
2000-07-17,28.73
2000-07-18,28.21
2000-07-19,25.96
2000-07-20,27.16
2000-07-21,26.39
2000-07-24,23.99
2000-07-25,24.67
2000-07-26,24.67
2000-07-27,25.62
2000-07-28,23.8
2000-07-31,25.04
2000-08-01,24.3
2000-08-02,23.28
2000-08-03,23.65
2000-08-04,23.35
2000-08-07,23.62
2000-08-08,23.03
2000-08-09,23.4
2000-08-10,23.43
2000-08-11,23.5
2000-08-14,23.19
2000-08-15,23.01
2000-08-16,23.9
2000-08-17,25.35
2000-08-18,24.64
2000-08-21,24.88
2000-08-22,25.47
2000-08-23,26.76
2000-08-24,27.65
2000-08-25,27.99
2000-08-28,28.61
2000-08-29,29.16
2000-08-30,29.32
2000-08-31,30.03
2000-09-01,31.26
2000-09-05,30.77
2000-09-06,28.79
2000-09-07,30.55
2000-09-08,29.01
2000-09-11,28.79
2000-09-12,28.45
2000-09-13,28.58
2000-09-14,28.02
2000-09-15,27.21
2000-09-18,29.89
2000-09-19,29.53
2000-09-20,30.08
2000-09-21,27.93
2000-09-22,25.72
2000-09-25,26.36
2000-09-26,25.35
2000-09-27,24.11
2000-09-28,26.36
2000-09-29,12.69
2000-10-02,11.95
2000-10-03,10.99
2000-10-04,11.64
2000-10-05,10.87
2000-10-06,10.93
2000-10-09,10.72
2000-10-10,10.28
2000-10-11,9.67
2000-10-12,9.85
2000-10-13,10.87
2000-10-16,10.59
2000-10-17,9.91
2000-10-18,9.91
2000-10-19,9.33
2000-10-20,9.61
2000-10-23,10.04
2000-10-24,9.3
2000-10-25,9.12
2000-10-26,9.12
2000-10-27,9.15
2000-10-30,9.51
2000-10-31,9.64
2000-11-01,10.1
2000-11-02,10.99
2000-11-03,10.96
2000-11-06,10.56
2000-11-07,10.5
2000-11-08,9.88
2000-11-09,9.95
2000-11-10,9.39
2000-11-13,9.54
2000-11-14,9.98
2000-11-15,9.79
2000-11-16,9.36
2000-11-17,9.12
2000-11-20,9.33
2000-11-21,9.27
2000-11-22,9.12
2000-11-24,9.51
2000-11-27,9.21
2000-11-28,8.88
2000-11-29,8.65
2000-11-30,8.13
2000-12-01,8.41
2000-12-04,8.22
2000-12-05,8.38
2000-12-06,7.05
2000-12-07,7.05
2000-12-08,7.42
2000-12-11,7.48
2000-12-12,7.58
2000-12-13,7.39
2000-12-14,7.11
2000-12-15,6.93
2000-12-18,7.02
2000-12-19,6.9
2000-12-20,7.09
2000-12-21,6.93
2000-12-22,7.39
2000-12-26,7.24
2000-12-27,7.3
2000-12-28,7.3
2000-12-29,7.33
2001-01-02,7.33
2001-01-03,8.07
2001-01-04,8.41
2001-01-05,8.07
2001-01-08,8.16
2001-01-09,8.47
2001-01-10,8.16
2001-01-11,8.87
2001-01-12,8.47
2001-01-16,8.44
2001-01-17,8.28
2001-01-18,9.21
2001-01-19,9.61
2001-01-22,9.48
2001-01-23,10.1
2001-01-24,10.1
2001-01-25,9.82
2001-01-26,9.64
2001-01-29,10.69
2001-01-30,10.72
2001-01-31,10.65
2001-02-01,10.41
2001-02-02,10.16
2001-02-05,9.95
2001-02-06,10.41
2001-02-07,10.22
2001-02-08,10.22
2001-02-09,9.42
2001-02-12,9.7
2001-02-13,9.42
2001-02-14,9.61
2001-02-15,9.88
2001-02-16,9.36
2001-02-20,9.02
2001-02-21,9.3
2001-02-22,9.27
2001-02-23,9.27
2001-02-26,9.61
2001-02-27,9.54
2001-02-28,8.99
2001-03-01,9.24
2001-03-02,9.48
2001-03-05,10.04
2001-03-06,10.59
2001-03-07,10.47
2001-03-08,10.25
2001-03-09,9.98
2001-03-12,9.17
2001-03-13,9.64
2001-03-14,10.07
2001-03-15,9.7
2001-03-16,9.67
2001-03-19,10.13
2001-03-20,9.7
2001-03-21,9.91
2001-03-22,10.65
2001-03-23,11.33
2001-03-26,10.73
2001-03-27,11.27
2001-03-28,10.92
2001-03-29,11.1
2001-03-30,10.87
2001-04-02,10.64
2001-04-03,9.97
2001-04-04,9.61
2001-04-05,10.28
2001-04-06,10.15
2001-04-09,10.12
2001-04-10,10.86
2001-04-11,10.74
2001-04-12,11.05
2001-04-16,10.56
2001-04-17,10.05
2001-04-18,11.23
2001-04-19,12.67
2001-04-20,12.34
2001-04-23,11.95
2001-04-24,11.84
2001-04-25,12.18
2001-04-26,12.17
2001-04-27,12.91
2001-04-30,12.56
2001-05-01,12.78
2001-05-02,13.1
2001-05-03,12.3
2001-05-04,12.69
2001-05-07,12.3
2001-05-08,12.11
2001-05-09,11.82
2001-05-10,11.33
2001-05-11,11.26
2001-05-14,11.48
2001-05-15,11.42
2001-05-16,11.87
2001-05-17,11.6
2001-05-18,11.59
2001-05-21,11.61
2001-05-22,11.58
2001-05-23,11.45
2001-05-24,11.43
2001-05-25,11.21
2001-05-29,10.58
2001-05-30,9.75
2001-05-31,9.83
2001-06-01,10.29
2001-06-04,10.18
2001-06-05,10.32
2001-06-06,10.21
2001-06-07,10.67
2001-06-08,10.5
2001-06-11,9.87
2001-06-12,10.01
2001-06-13,10.09
2001-06-14,9.8
2001-06-15,10.07
2001-06-18,10.02
2001-06-19,9.95
2001-06-20,10.68
