Strike;Bid Price;Ask Price
650.00;216.60;220.10
655.00;212.10;214.50
660.00;207.20;210.40
665.00;202.30;204.90
670.00;197.50;200.00
675.00;192.50;195.50
680.00;187.80;190.40
685.00;183.00;185.50
690.00;178.20;180.60
695.00;173.50;176.70
700.00;168.70;171.40
705.00;163.90;166.50
710.00;159.10;162.50
715.00;154.40;157.80
720.00;150.00;152.70
725.00;145.20;148.50
730.00;140.30;143.30
735.00;136.10;138.50
740.00;131.50;134.50
745.00;127.30;129.60
750.00;122.80;125.20
755.00;118.40;120.70
760.00;114.10;117.10
765.00;109.90;112.80
770.00;105.40;108.60
775.00;101.20;104.40
780.00;97.40;100.30
785.00;93.00;95.50
790.00;89.30;91.40
795.00;85.00;87.60
800.00;81.40;83.70
805.00;77.30;79.90
810.00;74.10;76.20
815.00;70.40;72.60
820.00;67.10;69.00
825.00;63.80;65.50
830.00;60.20;62.40
835.00;57.20;58.80
840.00;54.10;55.70
845.00;51.00;52.60
850.00;48.10;49.60
855.00;45.20;46.70
860.00;42.50;43.90
865.00;40.10;41.30
870.00;37.40;38.30
875.00;35.00;36.00
880.00;32.70;33.90
885.00;30.40;31.70
890.00;28.30;29.50
895.00;26.20;27.00
900.00;24.40;25.50
905.00;22.60;23.60
910.00;20.90;21.90
915.00;19.20;20.10
920.00;17.60;18.30
925.00;16.30;17.10
930.00;14.80;15.70
935.00;13.70;14.40
940.00;12.40;13.00
945.00;11.40;12.10
950.00;10.40;10.90
955.00;9.20;10.20
960.00;8.40;9.00
965.00;7.80;8.20
970.00;7.10;7.50
975.00;6.40;6.70
980.00;5.80;6.20
985.00;4.90;5.90
990.00;4.40;5.10
995.00;4.00;4.60
1,000.00;3.40;4.30
1,010.00;2.80;3.40
1,020.00;2.25;2.75
1,030.00;1.95;2.25
1,040.00;1.45;1.75
1,050.00;1.10;1.50
1,060.00;0.85;1.25
1,070.00;0.65;1.05
1,080.00;0.55;0.80
1,090.00;0.45;0.65
1,100.00;0.25;0.65
1,110.00;0.25;0.50
1,120.00;0.15;0.45
1,130.00;0.15;0.35
1,140.00;0.20;0.35
1,150.00;0.05;1.75
