date,intc
1973-01,0.010050
1973-02,-0.139303
1973-03,0.069364
1973-04,0.086486
1973-05,-0.104478
1973-06,0.133333
1973-07,0.625000
1973-08,0.117647
1973-09,0.234818
1973-10,0.144262
1973-11,-0.240688
1973-12,0.188679
1974-01,0.139683
1974-02,0.155989
1974-03,-0.163855
1974-04,0.162824
1974-05,0.148699
1974-06,-0.148867
1974-07,-0.448669
1974-08,-0.151724
1974-09,-0.390244
1974-10,0.613333
1974-11,-0.115702
1974-12,-0.140187
1975-01,0.336957
1975-02,0.463415
1975-03,0.183333
1975-04,0.244131
1975-05,0.045283
1975-06,0.018051
1975-07,-0.120567
1975-08,0.112903
1975-09,0.083333
1975-10,-0.026756
1975-11,0.020619
1975-12,-0.013468
1976-01,0.170648
1976-02,0.093294
1976-03,0.170667
1976-04,-0.033030
1976-05,-0.014134
1976-06,-0.021505
1976-07,-0.036630
1976-08,-0.068441
1976-09,-0.008163
1976-10,-0.098765
1976-11,0.036530
1976-12,0.052863
1977-01,-0.100418
1977-02,0.009302
1977-03,-0.129032
1977-04,-0.105820
1977-05,0.023669
1977-06,0.150289
1977-07,0.000000
1977-08,-0.050251
1977-09,0.042328
1977-10,-0.111675
1977-11,0.057143
1977-12,-0.010811
1978-01,-0.010929
1978-02,-0.121547
1978-03,0.062893
1978-04,0.236686
1978-05,0.066986
1978-06,0.071749
1978-07,0.124477
1978-08,0.046512
1978-09,-0.026667
1978-10,-0.136986
1978-11,0.052910
1978-12,0.010050
1979-01,0.089552
1979-02,0.045662
1979-03,0.131004
1979-04,0.025097
1979-05,0.050847
1979-06,0.112903
1979-07,-0.028986
1979-08,0.139303
1979-09,0.091703
1979-10,-0.004000
1979-11,0.108434
1979-12,-0.014493
1980-01,0.007353
1980-02,0.051095
1980-03,-0.135417
1980-04,-0.008032
1980-05,0.109312
1980-06,-0.032847
1980-07,0.283019
1980-08,0.030882
1980-09,0.018545
1980-10,-0.056022
1980-11,0.109792
1980-12,-0.133690
1981-01,-0.077160
1981-02,-0.060201
1981-03,0.035587
