"Bank";"Partner";"Amount";"Interest";"Year";"Month";"Day"
1;18;5;7,9;2007;1;3
1;38;3;7,9;2007;1;3
8;9;0,35;7,8;2007;1;3
15;20;2;8;2007;1;3
2;9;1,3;7,8;2007;1;3
18;9;0,8;7,8;2007;1;3
18;2;5;7,75;2007;1;3
3;20;4;7,95;2007;1;3
3;38;1,8;7,9;2007;1;3
26;10;2;7,9;2007;1;3
26;19;1,7;7,9;2007;1;3
32;19;0,6;7,9;2007;1;3
35;9;1,2;7,8;2007;1;3
36;19;1,3;7,9;2007;1;3
37;18;0,33;7,6;2007;1;3
4;19;5;7,95;2007;1;3
4;20;3;7,95;2007;1;3
4;20;4,6;7,95;2007;1;3
4;38;2;7,95;2007;1;3
5;20;3;8;2007;1;3
6;19;1,5;7,85;2007;1;3
6;20;1,3;7,85;2007;1;3
6;20;2,4;7,95;2007;1;3
6;38;1;7,9;2007;1;3
8;9;0,2;7,6;2007;1;4
12;9;1;7,65;2007;1;4
12;20;1;7,65;2007;1;4
15;20;3;7,75;2007;1;4
20;9;1;7,65;2007;1;4
3;9;1,9;7,65;2007;1;4
3;1;2,4;7,65;2007;1;4
3;20;4;7,75;2007;1;4
26;20;1;7,75;2007;1;4
32;9;0,9;7,65;2007;1;4
32;6;0,6;7,6;2007;1;4
37;18;0,27;7,6;2007;1;4
40;38;0,2;7,85;2007;1;4
4;20;4;7,85;2007;1;4
4;38;2;7,85;2007;1;4
6;9;0,75;7,6;2007;1;4
8;17;0,2;7,6;2007;1;5
12;20;1,5;7,7;2007;1;5
15;20;3;7,7;2007;1;5
17;39;0,9;8,33;2007;1;5
18;24;10;7,6;2007;1;5
20;1;1,8;7,65;2007;1;5
3;38;2;7,7;2007;1;5
26;12;0,5;7,5;2007;1;5
26;2;1;7,5;2007;1;5
26;17;1;7,6;2007;1;5
32;19;0,35;7,55;2007;1;5
32;6;0,6;7,55;2007;1;5
35;1;1,2;7,6;2007;1;5
37;18;0,65;7,5;2007;1;5
4;20;4,1;7,7;2007;1;5
5;20;4;7,7;2007;1;5
