Date,JetFuel,HeatingOil
1996-09,0.682,0.6794
1996-10,0.703,0.7307
1996-11,0.696,0.7261
1996-12,0.693,0.7171
1997-01,0.68,0.7142
1997-02,0.619,0.6081
1997-03,0.557,0.5533
1997-04,0.541,0.5485
1997-05,0.549,0.5648
1997-06,0.523,0.5164
1997-07,0.536,0.5295
1997-08,0.559,0.5525
1997-09,0.541,0.5252
1997-10,0.571,0.5694
1997-11,0.549,0.5954
1997-12,0.496,0.5151
1998-01,0.476,0.4623
1998-02,0.449,0.4472
1998-03,0.413,0.4025
1998-04,0.426,0.4362
1998-05,0.416,0.4164
1998-06,0.389,0.367
1998-07,0.386,0.3932
1998-08,0.372,0.3514
1998-09,0.42,0.4025
1998-10,0.42,0.3816
1998-11,0.371,0.3786
1998-12,0.304,0.3379
1999-01,0.334,0.3256
1999-02,0.309,0.3037
1999-03,0.378,0.3808
1999-04,0.43,0.4278
1999-05,0.415,0.4295
1999-06,0.44,0.4609
1999-07,0.512,0.5173
1999-08,0.564,0.5569
1999-09,0.614,0.6106
1999-10,0.595,0.5956
1999-11,0.661,0.6654
1999-12,0.701,0.673
2000-01,0.781,0.6903
2000-02,0.78,0.7519
2000-03,0.771,0.7171
2000-04,0.719,0.6639
2000-05,0.762,0.7725
2000-06,0.785,0.7744
2000-07,0.796,0.809
2000-08,0.9,0.8651
2000-09,1.017,1.0329
2000-10,0.982,1.0161
2000-11,1.028,1.0771
2000-12,0.863,0.9166
2001-01,0.87,0.8421
2001-02,0.815,0.7569
2001-03,0.748,0.7065
2001-04,0.77,0.7805
2001-05,0.821,0.7663
2001-06,0.767,0.8045
2001-07,0.711,0.6874
2001-08,0.764,0.7452
2001-09,0.738,0.8327
2001-10,0.622,0.6311
2001-11,0.543,0.5109
2001-12,0.515,0.5425
2002-01,0.533,0.5207
2002-02,0.551,0.5589
2002-03,0.63,0.6476
2002-04,0.669,0.6334
2002-05,0.666,0.6779
2002-06,0.653,0.6639
2002-07,0.691,0.6955
2002-08,0.722,0.7278
2002-09,0.8,0.7867
2002-10,0.79,0.7998
2002-11,0.708,0.6885
2002-12,0.811,0.8156
2003-01,0.887,0.9086
2003-02,1.055,1.0607
2003-03,0.893,0.9407
2003-04,0.743,0.7726
2003-05,0.714,0.7504
2003-06,0.748,0.7422
2003-07,0.78,0.8133
2003-08,0.823,0.8051
2003-09,0.738,0.747
2003-10,0.82,0.8688
2003-11,0.831,0.8797
2003-12,0.876,0.9206
2004-01,0.998,0.9299
2004-02,0.933,0.9427
2004-03,0.947,0.9169
2004-04,0.973,0.9655
2004-05,1.092,1.0409
2004-06,1.032,0.9775
2004-07,1.145,1.0986
2004-08,1.227,1.2145
2004-09,1.362,1.2061
2004-10,1.52,1.5491
2004-11,1.347,1.3431
2004-12,1.223,1.3884
2005-01,1.334,1.3509
2005-02,1.334,1.2913
2005-03,1.562,1.552
2005-04,1.573,1.4599
2005-05,1.471,1.3703
2005-06,1.654,1.6211
2005-07,1.665,1.6621
2005-08,1.874,1.8692
2005-09,2.232,1.912
2005-10,2.398,1.95
2005-11,1.698,1.6809
2005-12,1.727,1.7873
2006-01,1.816,1.715
2006-02,1.754,1.6075
2006-03,1.875,1.7817
2006-04,2.074,1.9831
2006-05,2.07,1.945
2006-06,2.081,1.9369
2006-07,2.154,2.076
2006-08,2.133,2.0235
2006-09,1.81,1.7023
2006-10,1.739,1.7178
2006-11,1.733,1.6924
2006-12,1.81,1.7817
2007-01,1.654,1.5036
2007-02,1.74,1.6271
2007-03,1.846,1.6885
2007-04,2.036,1.9007
2007-05,2.044,1.8902
2007-06,2.099,2.0106
2007-07,2.137,2.1106
2007-08,2.092,2.0269
2007-09,2.265,2.2078
2007-10,2.372,2.3072
2007-11,2.673,2.5587
2007-12,2.601,2.6079
2008-01,2.605,2.5472
2008-02,2.728,2.6469
2008-03,3.124,3.1465
2008-04,3.365,3.2739
2008-05,3.738,3.6224
2008-06,3.878,3.8368
2008-07,3.886,3.919
2008-08,3.271,3.1191
2008-09,3.375,2.7912
2008-10,2.315,2.1905
2008-11,1.88,1.8318
2008-12,1.375,1.4601
2009-01,1.469,1.4871
2009-02,1.259,1.3
2009-03,1.268,1.1972
2009-04,1.369,1.401
2009-05,1.488,1.4188
2009-06,1.805,1.8156
2009-07,1.712,1.5821
2009-08,1.885,1.841
2009-09,1.749,1.7801
2009-10,1.942,2.0181
2009-11,1.986,1.9661
2009-12,1.979,1.9033
2010-01,2.052,2.046
2010-02,1.989,1.9189
2010-03,2.108,2.0576
2010-04,2.243,2.2523
2010-05,2.063,2.0606
2010-06,2.058,2.0685
2010-07,2.019,2.0183
2010-08,2.083,1.9956
2010-09,2.114,2.1326
2010-10,2.248,2.2308
2010-11,2.323,2.3709
2010-12,2.453,2.4835
2011-01,2.619,2.6452
2011-02,2.839,2.729
2011-03,3.125,2.9538
2011-04,3.267,3.2242
2011-05,3.085,2.9422
2011-06,3.046,2.9848
2011-07,3.131,3.118
2011-08,3.008,2.9441
2011-09,2.948,3.0246
2011-10,2.966,3.0558
2011-11,3.046,3.1713
2011-12,2.873,2.8225
2012-01,3.087,3.0272
2012-02,3.207,3.1916
2012-03,3.256,3.2225
2012-04,3.226,3.1746
2012-05,2.974,2.933
2012-06,2.678,2.6465
2012-07,2.892,2.7882
