Date,1M,2M,3M,6M,9M,1Y,2Y,3Y,4Y,5Y,7Y,10Y
7/9/2014,8.175,8.27,8.27,8.35,8.42,8.36,7.97,7.87,7.87,7.88,7.92,7.96
7/8/2014,8.15,8.17,8.26,8.32,8.4,8.35,7.95,7.86,7.86,7.87,7.91,7.95
7/7/2014,8.13,8.15,8.26,8.32,8.405,8.36,7.94,7.87,7.84,7.85,7.89,7.93
7/4/2014,8.1,8.12,8.26,8.32,8.4,8.31,7.9,7.83,7.81,7.82,7.86,7.9
7/3/2014,8.08,8.1,8.26,8.32,8.4,8.325,7.925,7.855,7.84,7.85,7.89,7.93
7/2/2014,8.105,8.125,8.26,8.34,8.405,8.32,7.92,7.85,7.845,7.855,7.895,7.935
7/1/2014,8.14,8.16,8.26,8.34,8.42,8.34,7.94,7.87,7.87,7.88,7.92,7.96
6/30/2014,8.135,8.14,8.26,8.34,8.42,8.36,7.97,7.91,7.9,7.91,7.95,7.99
6/27/2014,8.15,8.17,8.26,8.33,8.37,8.37,7.98,7.9,7.91,7.92,7.96,8
6/26/2014,8.115,8.135,8.26,8.33,8.37,8.37,7.98,7.9,7.91,7.92,7.96,8
6/25/2014,8.11,8.13,8.27,8.35,8.36,8.33,7.98,7.94,7.95,7.97,8.01,8.05
6/24/2014,8.095,8.115,8.27,8.35,8.37,8.35,8.01,7.98,8,8,8.04,8.08
6/23/2014,8.16,8.18,8.27,8.35,8.38,8.39,8.06,8.03,8.04,8.06,8.1475,8.15
6/20/2014,8.13,8.15,8.27,8.3,8.33,8.36,8.01,7.97,7.99,8.01,8.05,8.1
6/19/2014,8.16,8.255,8.3,8.32,8.34,8.34,7.99,7.95,7.96,7.98,8.02,8.0675
6/18/2014,8.275,8.285,8.3,8.32,8.35,8.37,8,7.97,7.99,8,8.04,8.04
6/17/2014,8.235,8.205,8.27,8.29,8.29,8.3,7.93,7.88,7.91,7.93,7.97,8.005
6/16/2014,8.22,8.21,8.25,8.27,8.27,8.31,7.95,7.92,7.94,7.95,7.99,8.085
6/13/2014,8.135,8.145,8.25,8.25,8.25,8.25,7.87,7.86,7.86,7.87,7.91,7.9
6/12/2014,8.135,8.145,8.23,8.24,8.24,8.225,7.855,7.83,7.83,7.87,7.91,7.91
6/11/2014,8.21,8.21,8.23,8.24,8.24,8.225,7.865,7.84,7.845,7.885,7.925,7.975
6/10/2014,8.12,8.12,8.23,8.24,8.24,8.205,7.85,7.835,7.83,7.87,7.91,7.96
6/9/2014,8.175,8.175,8.17,8.19,8.19,8.185,7.815,7.8,7.825,7.865,7.905,7.905
6/6/2014,7.935,7.945,8.18,8.2,8.21,8.15,7.76,7.74,7.78,7.81,7.85,7.9
6/5/2014,8.1,8.1,8.17,8.17,8.17,8.135,7.79,7.77,7.81,7.83,7.92,7.9175
6/4/2014,8.145,8.145,8.15,8.2,8.2,8.185,7.875,7.865,7.915,7.925,7.965,7.965
6/3/2014,7.98,7.99,8.15,8.25,8.25,8.215,7.925,7.955,7.985,8.035,8.075,8.12
6/2/2014,8.15,8.15,8.25,8.33,8.35,8.375,8.075,8.085,8.135,8.165,8.205,8.205
5/30/2014,8.125,8.1325,8.2,8.25,8.3,8.365,8.09,8.11,8.145,8.18,8.22,8.22
5/29/2014,8.135,8.145,8.25,8.3,8.335,8.385,8.12,8.14,8.2,8.235,8.275,8.325
5/28/2014,8.125,8.135,8.25,8.3,8.335,8.385,8.12,8.14,8.2,8.235,8.275,8.39
5/27/2014,8.115,8.125,8.25,8.3,8.33,8.375,8.11,8.13,8.19,8.225,8.265,8.385
5/26/2014,8.125,8.135,8.22,8.3,8.33,8.375,8.135,8.135,8.195,8.235,8.275,8.275
5/23/2014,8.15,8.13,8.2,8.28,8.31,8.335,8.075,8.085,8.135,8.175,8.225,8.295
5/22/2014,8.115,8.125,8.25,8.34,8.36,8.415,8.135,8.155,8.205,8.235,8.315,8.38
5/21/2014,8.17,8.18,8.25,8.34,8.38,8.47,8.195,8.215,8.265,8.285,8.365,8.385
5/20/2014,8.24,8.25,8.3,8.35,8.42,8.49,8.22,8.24,8.29,8.31,8.39,8.455
5/19/2014,8.23,8.24,8.3,8.35,8.418,8.5,8.22,8.24,8.295,8.315,8.395,8.415
5/16/2014,8.24,8.25,8.32,8.37,8.42,8.51,8.23,8.25,8.29,8.31,8.39,8.41
5/15/2014,8.21,8.22,8.35,8.4,8.45,8.495,8.215,8.235,8.275,8.295,8.375,8.395
5/14/2014,8.22,8.23,8.37,8.4,8.42,8.505,8.255,8.265,8.295,8.335,8.415,8.435
5/13/2014,8.22,8.23,8.37,8.4,8.42,8.505,8.255,8.265,8.295,8.335,8.415,8.435
5/12/2014,8.205,8.215,8.34,8.37,8.403,8.47,8.215,8.23,8.265,8.295,8.375,8.395
5/9/2014,8.18,8.19,8.32,8.4,8.448,8.48,8.225,8.24,8.275,8.305,8.385,8.45
5/8/2014,8.19,8.2,8.3,8.4,8.45,8.495,8.24,8.255,8.285,8.315,8.395,8.415
5/7/2014,8.225,8.2325,8.3,8.4,8.45,8.52,8.27,8.285,8.315,8.365,8.445,8.465
5/6/2014,8.27,8.285,8.3,8.4,8.45,8.545,8.285,8.295,8.335,8.375,8.455,8.475
5/5/2014,8.25,8.26,8.33,8.43,8.45,8.545,8.275,8.285,8.315,8.355,8.435,8.455
5/2/2014,8.29,8.3,8.38,8.45,8.45,8.555,8.295,8.315,8.335,8.395,8.475,8.495
5/1/2014,8.29,8.3,8.35,8.45,8.48,8.535,8.295,8.315,8.375,8.425,8.505,8.525
4/30/2014,8.29,8.3,8.35,8.45,8.48,8.535,8.295,8.315,8.375,8.425,8.505,8.525
4/29/2014,8.33,8.34,8.4,8.47,8.49,8.575,8.315,8.335,8.405,8.465,8.545,8.565
4/28/2014,8.225,8.295,8.4,8.47,8.5,8.59,8.34,8.36,8.44,8.5,8.58,8.6
4/25/2014,8.225,8.295,8.37,8.45,8.47,8.575,8.325,8.355,8.435,8.495,8.575,8.595
4/24/2014,8.3,8.32,8.32,8.47,8.49,8.555,8.315,8.345,8.415,8.475,8.555,8.575
4/23/2014,8.2,8.27,8.32,8.47,8.49,8.555,8.315,8.345,8.415,8.475,8.555,8.575
4/22/2014,8.275,8.275,8.37,8.47,8.51,8.555,8.335,8.365,8.435,8.495,8.575,8.595
4/21/2014,8.22,8.29,8.35,8.45,8.49,8.54,8.32,8.35,8.42,8.48,8.56,8.58
4/18/2014,8.19,8.24,8.35,8.45,8.5,8.56,8.34,8.36,8.44,8.5,8.58,8.6
4/17/2014,8.19,8.24,8.35,8.45,8.5,8.56,8.34,8.36,8.44,8.5,8.58,8.6
4/16/2014,8.2,8.25,8.37,8.45,8.5,8.565,8.345,8.365,8.475,8.545,8.625,8.645
