"","date","indicator","Overnight"
"1",2000-01-01,0,7.57
"2",2000-01-03,0,8.02
"3",2000-01-04,0,8.02
"4",2000-01-05,0,8.02
"5",2000-01-06,0,8.03
"6",2000-01-07,0,8.02
"7",2000-01-08,0,8.02
"8",2000-01-10,0,8.35
"9",2000-01-11,0,8.12
"10",2000-01-12,0,8.04
"11",2000-01-13,0,8.01
"12",2000-01-14,0,7.09
"13",2000-01-15,0,8.14
"14",2000-01-17,0,8.39
"15",2000-01-18,0,8.14
"16",2000-01-19,0,8.11
"17",2000-01-20,0,8.07
"18",2000-01-21,0,8.4
"19",2000-01-22,0,8.18
"20",2000-01-24,0,8.11
"21",2000-01-25,0,8.11
"22",2000-01-26,0,8.11
"23",2000-01-27,0,8.23
"24",2000-01-28,0,8.37
"25",2000-01-29,0,8.47
"26",2000-01-31,0,8.19
"27",2000-02-01,0,8.31
"28",2000-02-02,0,8.12
"29",2000-02-03,0,8.06
"30",2000-02-04,0,8.05
"31",2000-02-05,0,8.08
"32",2000-02-07,0,8.11
"33",2000-02-08,0,8.4
"34",2000-02-09,0,8.55
"35",2000-02-10,0,8.93
"36",2000-02-11,1,16.97
"37",2000-02-12,0,10.14
"38",2000-02-14,0,9.93
"39",2000-02-15,0,10.19
"40",2000-02-16,1,25.22
"41",2000-02-17,1,15.93
"42",2000-02-18,1,15.67
"43",2000-02-19,1,15.67
"44",2000-02-21,0,13.23
"45",2000-02-22,0,10.02
"46",2000-02-23,0,9.14
"47",2000-02-24,0,8.89
"48",2000-02-25,0,8.2
"49",2000-02-26,0,9.12
"50",2000-02-28,0,9.15
"51",2000-02-29,0,9.1
"52",2000-03-01,0,9.31
"53",2000-03-02,0,10.1
"54",2000-03-03,0,10.66
"55",2000-03-04,0,10.66
"56",2000-03-06,0,11.02
"57",2000-03-07,0,10.28
"58",2000-03-08,0,9.96
"59",2000-03-09,0,8.97
"60",2000-03-10,0,7.67
"61",2000-03-11,0,8.8
"62",2000-03-13,0,8.72
"63",2000-03-14,0,8.52
"64",2000-03-15,0,8.53
"65",2000-03-16,0,8.52
"66",2000-03-17,0,8.52
"67",2000-03-18,0,8.52
"68",2000-03-20,0,8.52
"69",2000-03-21,0,8.85
"70",2000-03-22,0,9.83
"71",2000-03-23,0,10.63
"72",2000-03-24,0,8.12
"73",2000-03-25,0,9.44
"74",2000-03-27,0,10.01
"75",2000-03-28,0,10.79
"76",2000-03-29,0,10.11
"77",2000-03-30,0,10.18
"78",2000-03-31,1,16.52
"79",2000-04-01,1,16.52
"80",2000-04-03,0,8.5
"81",2000-04-04,0,7.04
"82",2000-04-05,0,7.04
"83",2000-04-06,0,5.41
"84",2000-04-07,1,3.6
"85",2000-04-08,0,6.43
"86",2000-04-10,0,7.27
"87",2000-04-11,0,6.03
"88",2000-04-12,0,6.03
"89",2000-04-13,0,7.15
"90",2000-04-14,0,7.15
"91",2000-04-15,0,7.15
"92",2000-04-17,0,7.09
"93",2000-04-18,0,6.93
"94",2000-04-19,0,6.9
"95",2000-04-20,0,5.66
"96",2000-04-21,0,5.66
"97",2000-04-22,0,7.8
"98",2000-04-24,0,7.13
"99",2000-04-25,0,7.17
"100",2000-04-26,0,7.08
"101",2000-04-27,0,7.03
"102",2000-04-28,0,7.04
"103",2000-04-29,0,7.06
