Date,Overnight
7/9/2014,8.98
7/8/2014,8.49
7/7/2014,8.11
7/5/2014,7.64
7/4/2014,7.64
7/3/2014,7.95
7/2/2014,8.53
7/1/2014,8.98
6/30/2014,9.02
6/28/2014,8.23
6/27/2014,8.23
6/26/2014,8.28
6/25/2014,8.18
6/24/2014,8.19
6/23/2014,8.2
6/21/2014,7.61
6/20/2014,7.61
6/19/2014,8.05
6/18/2014,8.34
6/17/2014,8.89
6/16/2014,8.82
6/14/2014,8.07
6/13/2014,8.07
6/12/2014,8.15
6/11/2014,8.33
6/10/2014,8.45
6/9/2014,8.19
6/7/2014,7.92
6/6/2014,7.92
6/5/2014,8.02
6/4/2014,8.01
6/3/2014,8.04
6/2/2014,8.21
5/31/2014,7.92
5/30/2014,7.92
5/29/2014,8.05
5/28/2014,8.05
5/27/2014,8.05
5/26/2014,8.1
5/24/2014,7.95
5/23/2014,7.95
5/22/2014,8.02
5/21/2014,8.01
5/20/2014,8.08
5/19/2014,8.39
5/17/2014,8.11
5/16/2014,8.11
5/15/2014,8.48
5/14/2014,8.97
5/13/2014,8.97
5/12/2014,8.53
5/10/2014,8.14
5/9/2014,8.14
5/8/2014,8.24
5/7/2014,8.05
5/6/2014,8.1
5/5/2014,8.31
5/3/2014,8.11
5/2/2014,8.11
5/1/2014,8.7
4/30/2014,8.7
4/29/2014,8.79
4/28/2014,8.8
4/26/2014,8.44
4/25/2014,8.44
4/24/2014,8.84
4/23/2014,8.84
4/22/2014,8.76
4/21/2014,8.21
4/19/2014,7.89
4/18/2014,7.89
4/17/2014,7.89
4/16/2014,8.25
4/15/2014,8.29
4/14/2014,8.1
4/12/2014,8.1
4/11/2014,8.1
4/10/2014,8.21
4/9/2014,8.28
4/8/2014,8.46
4/7/2014,8.46
4/5/2014,8.58
4/4/2014,8.58
4/3/2014,9.01
4/2/2014,9.07
4/1/2014,8.53
3/31/2014,8.53
3/29/2014,8.53
3/28/2014,8.53
3/27/2014,8.3
3/26/2014,8.57
3/25/2014,8.99
3/24/2014,9
3/22/2014,8.85
3/21/2014,8.85
3/20/2014,9.05
3/19/2014,9.03
3/18/2014,9.11
3/17/2014,8.49
3/15/2014,8.49
3/14/2014,8.49
3/13/2014,8.28
3/12/2014,8.15
3/11/2014,8.27
3/10/2014,8.21
3/8/2014,8.02
3/7/2014,8.02
3/6/2014,8.1
3/5/2014,7.77
3/4/2014,7.99
3/3/2014,8.05
3/1/2014,8.08
2/28/2014,8.08
2/27/2014,8.07
2/26/2014,8.07
2/25/2014,8.05
2/24/2014,8.05
2/22/2014,8.04
2/21/2014,8.04
2/20/2014,8.06
2/19/2014,8.22
2/18/2014,8.22
2/17/2014,8.94
2/15/2014,9.04
2/14/2014,9.04
2/13/2014,9.12
2/12/2014,8.79
2/11/2014,9.2
2/10/2014,9.03
2/8/2014,8.15
2/7/2014,8.15
2/6/2014,8.15
2/5/2014,8.05
2/4/2014,8.1
2/3/2014,8.19
2/1/2014,8.12
1/31/2014,8.12
1/30/2014,8.23
1/29/2014,8.23
1/28/2014,8.26
1/27/2014,8.33
1/25/2014,7.83
1/24/2014,7.83
1/23/2014,7.9
1/22/2014,8.12
1/21/2014,8.3
1/20/2014,8.8
1/18/2014,8.79
1/17/2014,8.79
1/16/2014,8.8
1/15/2014,8.75
1/14/2014,8.35
1/13/2014,8.35
1/11/2014,8.31
1/10/2014,8.31
1/9/2014,8.74
1/8/2014,8.75
1/7/2014,7.98
1/6/2014,7.85
1/4/2014,7.76
1/3/2014,7.76
1/2/2014,8.17
1/1/2014,8.6
12/31/2013,9.07
12/30/2013,8.8
12/28/2013,8.71
12/27/2013,8.71
12/26/2013,8.85
12/25/2013,8.86
12/24/2013,8.86
12/23/2013,8.85
12/21/2013,8.89
12/20/2013,8.89
12/19/2013,8.91
12/18/2013,9
12/17/2013,8.77
12/16/2013,8.29
12/14/2013,7.73
12/13/2013,7.73
12/12/2013,7.75
12/11/2013,7.8
12/10/2013,7.8
12/9/2013,7.79
12/7/2013,7.37
12/6/2013,7.37
12/5/2013,7.05
12/4/2013,7.09
12/3/2013,7.35
12/2/2013,7.99
11/30/2013,7.72
11/29/2013,7.72
11/28/2013,8.67
11/27/2013,8.71
11/26/2013,8.75
11/25/2013,8.75
11/23/2013,8.73
11/22/2013,8.73
11/21/2013,8.78
11/20/2013,8.78
11/19/2013,8.77
11/18/2013,8.8
11/16/2013,8.79
11/15/2013,8.79
11/14/2013,8.79
11/13/2013,8.82
11/12/2013,8.8
11/11/2013,8.79
11/9/2013,8.67
11/8/2013,8.67
11/7/2013,8.18
11/6/2013,7.86
11/5/2013,8.62
11/4/2013,8.71
11/2/2013,8.71
11/1/2013,8.71
10/31/2013,8.72
10/30/2013,8.75
10/29/2013,8.98
10/28/2013,9.05
10/26/2013,9.05
10/25/2013,9.05
10/24/2013,9.05
10/23/2013,9.05
10/22/2013,9.05
10/21/2013,9.07
10/19/2013,9.03
10/18/2013,9.03
10/17/2013,9.09
10/16/2013,9.1
10/15/2013,9.1
10/14/2013,9.1
10/12/2013,9.05
10/11/2013,9.05
10/10/2013,9.08
10/9/2013,9.09
10/8/2013,9.1
10/7/2013,9.6
10/5/2013,9.53
10/4/2013,9.53
10/3/2013,9.65
10/2/2013,9.65
10/1/2013,9.65
9/30/2013,10
9/28/2013,9.54
9/27/2013,9.54
9/26/2013,9.54
9/25/2013,9.55
9/24/2013,9.55
9/23/2013,9.64
9/21/2013,10.16
9/20/2013,10.16
9/19/2013,10.38
9/18/2013,10.53
9/17/2013,10.58
9/16/2013,10.6
9/14/2013,10.33
9/13/2013,10.33
9/12/2013,10.38
9/11/2013,10.34
9/10/2013,10.35
9/9/2013,10.28
9/7/2013,10.28
9/6/2013,10.28
9/5/2013,10.25
9/4/2013,10.19
9/3/2013,10.29
9/2/2013,10.31
8/31/2013,10.36
8/30/2013,10.36
8/29/2013,10.37
8/28/2013,10.31
8/27/2013,10.32
8/26/2013,10.39
8/24/2013,10.36
8/23/2013,10.36
8/22/2013,10.4
8/21/2013,10.32
8/20/2013,10.4
8/19/2013,10.42
8/17/2013,10.35
8/16/2013,10.35
8/15/2013,10.35
8/14/2013,10.35
8/13/2013,10.32
8/12/2013,10.3
8/10/2013,8.8
8/9/2013,8.8
8/8/2013,8.8
8/7/2013,9.86
8/6/2013,8.65
8/5/2013,8.91
8/3/2013,8.92
8/2/2013,8.92
8/1/2013,10.03
7/31/2013,10.17
7/30/2013,10.2
7/29/2013,10.21
7/27/2013,9.69
7/26/2013,9.69
7/25/2013,8.56
7/24/2013,9.94
7/23/2013,7.3
7/22/2013,7.25
7/20/2013,7.27
7/19/2013,7.27
7/18/2013,7.66
7/17/2013,8.24
7/16/2013,9.23
7/15/2013,7.26
7/13/2013,7.21
7/12/2013,7.21
7/11/2013,7.25
7/10/2013,7.25
7/9/2013,7.25
7/8/2013,6.82
7/6/2013,6.54
7/5/2013,6.54
7/4/2013,6.89
7/3/2013,7.14
7/2/2013,7.26
7/1/2013,7.33
6/29/2013,7.33
6/28/2013,7.33
6/27/2013,7.25
6/26/2013,7.19
6/25/2013,7.21
6/24/2013,7.3
6/22/2013,7.32
6/21/2013,7.32
6/20/2013,7.3
6/19/2013,7.3
6/18/2013,7.31
6/17/2013,7.32
6/15/2013,7.28
6/14/2013,7.28
6/13/2013,7.29
6/12/2013,7.31
6/11/2013,7.32
6/10/2013,7.34
6/8/2013,7.31
6/7/2013,7.31
6/6/2013,7.31
6/5/2013,7.3
6/4/2013,7.33
6/3/2013,7.34
6/1/2013,7.3
5/31/2013,7.3
5/30/2013,7.33
5/29/2013,7.31
5/28/2013,7.32
5/27/2013,7.32
5/25/2013,7.32
5/24/2013,7.32
5/23/2013,7.32
5/22/2013,7.31
5/21/2013,7.33
5/20/2013,7.33
5/18/2013,7.32
5/17/2013,7.32
5/16/2013,7.34
5/15/2013,7.33
5/14/2013,7.35
5/13/2013,7.35
5/11/2013,7.35
5/10/2013,7.35
5/9/2013,7.35
5/8/2013,7.36
5/7/2013,7.36
5/6/2013,7.35
5/4/2013,7.55
5/3/2013,7.55
5/2/2013,7.61
5/1/2013,7.62
4/30/2013,7.62
4/29/2013,7.6
4/27/2013,7.61
4/26/2013,7.61
4/25/2013,7.6
4/24/2013,7.6
4/23/2013,7.6
4/22/2013,7.6
4/20/2013,7.58
4/19/2013,7.58
4/18/2013,7.58
4/17/2013,7.55
4/16/2013,7.55
4/15/2013,7.58
4/13/2013,7.61
4/12/2013,7.61
4/11/2013,7.59
4/10/2013,7.59
4/9/2013,7.64
4/8/2013,7.65
4/6/2013,7.38
4/5/2013,7.38
4/4/2013,7.46
4/3/2013,7.61
4/2/2013,7.65
