Date,91D.deposit,9M,1Y,18M,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,12Y,15Y,20Y
7/9/2014,2.65,2.58,2.5675,2.575,2.585,2.64,2.7125,2.78,2.835,2.8863,2.94,2.9825,3.02,3.065,3.105,3.2223
7/8/2014,2.65,2.6,2.59,2.5975,2.613,2.662,2.727,2.786,2.84,2.8875,2.9375,2.98,3.0125,3.057,3.097,3.219
7/7/2014,2.65,2.58,2.5725,2.5775,2.5875,2.6325,2.7,2.7625,2.8125,2.8575,2.905,2.9475,2.98,3.023,3.0625,3.18
7/4/2014,2.65,2.5775,2.568,2.5725,2.582,2.628,2.695,2.76,2.8075,2.852,2.9,2.94,2.97,3.015,3.055,3.178
7/3/2014,2.65,2.575,2.565,2.57,2.58,2.625,2.6925,2.755,2.8025,2.8475,2.8975,2.9375,2.9675,3.0125,3.053,3.175
7/2/2014,2.65,2.5725,2.56,2.565,2.5725,2.6175,2.6825,2.7425,2.79,2.8325,2.8875,2.925,2.9525,2.992,3.033,3.155
7/1/2014,2.65,2.5975,2.593,2.6075,2.6198,2.6713,2.7325,2.7875,2.8375,2.8775,2.9325,2.97,2.9925,3.03,3.07,3.1928
6/30/2014,2.65,2.6025,2.593,2.6125,2.63,2.68,2.7413,2.795,2.8375,2.88,2.9325,2.9725,2.9925,3.0323,3.0723,3.195
6/27/2014,2.65,2.6075,2.5975,2.6213,2.64,2.693,2.7503,2.8025,2.8463,2.8875,2.9425,2.9825,3.0013,3.048,3.0828,3.205
6/26/2014,2.65,2.615,2.6075,2.6325,2.658,2.718,2.7775,2.831,2.8775,2.9165,2.9675,3.0075,3.0303,3.075,3.1123,3.235
6/25/2014,2.65,2.6125,2.61,2.6325,2.6575,2.72,2.7875,2.84,2.885,2.9275,2.9775,3.0175,3.0425,3.0825,3.13,3.2453
6/24/2014,2.65,2.61,2.6025,2.63,2.66,2.72,2.7875,2.845,2.885,2.93,2.9825,3.0225,3.045,3.0875,3.135,3.2503
6/23/2014,2.65,2.61,2.6025,2.63,2.655,2.725,2.79,2.845,2.8925,2.945,2.9925,3.0325,3.06,3.1003,3.145,3.2598
6/20/2014,2.65,2.605,2.5975,2.62,2.6425,2.7075,2.7775,2.8325,2.8825,2.9275,2.9775,3.0175,3.0475,3.09,3.1275,3.25
6/19/2014,2.65,2.6225,2.6175,2.645,2.67,2.735,2.805,2.86,2.9125,2.96,3.01,3.055,3.085,3.125,3.161,3.285
6/18/2014,2.65,2.6325,2.63,2.6588,2.6875,2.76,2.8325,2.8925,2.945,2.995,3.045,3.09,3.12,3.162,3.202,3.323
6/17/2014,2.65,2.63,2.6275,2.6538,2.68,2.755,2.8275,2.89,2.9425,2.9925,3.045,3.09,3.12,3.1635,3.2035,3.324
6/16/2014,2.65,2.625,2.625,2.65,2.6775,2.7525,2.825,2.8925,2.9475,2.9938,3.0475,3.0925,3.125,3.162,3.202,3.3178
6/13/2014,2.65,2.63,2.63,2.66,2.69,2.765,2.8375,2.903,2.955,3,3.0525,3.0963,3.124,3.17,3.21,3.33
6/12/2014,2.65,2.6525,2.66,2.6925,2.725,2.8025,2.87,2.925,2.975,3.0175,3.07,3.1125,3.14,3.1865,3.2235,3.344
