,date,indicator,X91D.deposit,X9M,X1Y,X18M,X2Y,X3Y,X4Y,X5Y,X6Y,X7Y,X8Y,X9Y,X10Y,X12Y,X15Y,X20Y
1,6/20/2006,0,4.5,4.575,4.63,4.635,4.66,4.735,4.8,4.83,4.895,4.955,5.005,5.02,5.075,5.09,5.255,5.375
2,6/21/2006,0,4.51,4.575,4.62,4.64,4.76,4.725,4.79,4.82,4.9,4.955,4.985,4.52,5.05,5.14,5.25,5.37
3,6/22/2006,1,4.55,4.575,4.64,4.64,4.68,4.73,4.76,4.82,4.885,4.945,4.97,5.99,5.055,5.155,5.265,5.37
4,6/23/2006,0,4.55,4.62,4.72,4.68,4.77,4.8,4.83,4.905,4.985,5.03,5.065,5.095,5.13,5.22,5.33,5.43
5,6/26/2006,0,4.56,4.685,4.715,4.74,4.77,4.82,4.87,4.91,4.96,5.02,5.065,5.09,5.12,5.21,5.32,5.43
6,6/27/2006,0,4.57,4.685,4.715,4.735,4.765,4.815,4.86,4.9,4.955,5.01,5.045,5.075,5.11,5.2,5.31,5.4
7,6/28/2006,0,4.57,4.685,4.72,4.745,4.775,4.81,4.87,4.92,4.945,4.51,5.065,5.095,5.125,5.2,5.31,5.4
8,6/29/2006,0,4.57,4.65,4.405,4.695,4.755,4.79,4.805,4.86,4.915,4.51,4.55,5.04,5.07,5.18,5.29,5.38
9,6/30/2006,1,4.59,4.63,4.635,4.645,4.68,4.72,4.77,4.81,4.86,4.91,4.945,4.5,5.99,5.095,5.205,5.295
10,7/3/2006,0,4.59,4.61,4.65,4.665,4.69,4.725,4.775,4.815,4.865,4.915,4.935,4.965,5.015,5.105,5.215,5.305
11,7/4/2006,1,4.59,4.61,4.67,4.665,4.69,4.725,4.785,4.84,4.88,4.935,4.96,5.99,5.025,5.125,5.23,5.33
12,7/5/2006,1,4.6,4.62,4.635,4.665,4.66,4.695,4.745,4.785,4.84,4.9,4.93,4.49,5.99,5.1,5.21,5.31
13,7/6/2006,1,4.6,4.62,4.645,4.65,4.64,4.67,4.75,4.78,4.86,4.93,4.97,4.49,5.99,5.1,5.21,5.31
14,7/7/2006,1,4.6,4.635,4.67,4.635,4.68,4.745,4.795,4.845,4.87,4.94,4.96,5.98,5.065,5.18,5.265,5.39
15,7/10/2006,0,4.61,4.635,4.67,4.69,4.725,4.75,4.795,4.855,4.915,4.975,5.01,5.045,5.08,5.17,5.275,5.375
16,7/11/2006,0,4.62,4.635,4.65,4.675,4.705,4.745,4.805,4.83,4.925,4.965,4.995,5.025,5.075,5.165,5.285,5.385
17,7/12/2006,0,4.63,4.65,4.405,4.71,4.72,4.755,4.8,4.85,4.895,4.95,4.995,5.025,5.055,5.155,5.26,5.365
18,7/13/2006,1,4.63,4.685,4.705,4.735,4.75,4.785,4.79,4.84,4.915,4.495,5.98,5.06,5.035,5.125,5.25,5.35
19,7/14/2006,0,4.64,4.655,4.68,4.685,4.71,4.735,4.78,4.83,4.875,4.935,4.975,5.005,5.04,5.12,5.23,5.33
20,7/17/2006,0,4.64,4.655,4.68,4.685,4.71,4.735,4.78,4.83,4.875,4.935,4.975,5.005,5.04,5.12,5.23,5.33
