"","Date","Tenor","Original","Interpolated"
"1",2008-05-06,"X18M",4.495,5.0470456684021
"2",2006-11-10,"X5Y",6.59,4.61047230891927
"3",2006-07-13,"X7Y",4.495,4.94776689198803
"4",2006-07-13,"X8Y",5.98,4.97357991961719
"5",2006-12-07,"X8Y",4.665,4.73229033473863
"6",2006-06-22,"X9Y",5.99,4.9169705227621
"7",2006-07-04,"X9Y",5.99,4.89869208084465
"8",2006-07-07,"X9Y",5.98,4.89294298353496
"9",2006-07-26,"X9Y",4.995,4.86823234032856
"10",2006-12-07,"X9Y",6.65,4.74750594150099
"11",2007-02-02,"X9Y",5.99,4.97239046032954
"12",2008-05-08,"X9Y",5.97,5.02065686466803
"13",2006-07-05,"X10Y",5.99,5.24326476875713
"14",2006-07-24,"X10Y",5.98,4.93074529187977
"15",2006-07-26,"X10Y",5.99,4.91038117451061
"16",2006-12-26,"X10Y",5.99,4.93051751344818
"17",2006-12-26,"X12Y",5.99,4.97538210028692
"18",2006-08-11,"X15Y",5.91,4.98638344047004
"19",2006-08-16,"X15Y",5.99,4.97115451656017
"20",2006-08-29,"X15Y",5.99,4.97330659938723
"21",2006-09-13,"X15Y",5.99,4.94426940281414
"22",2006-09-15,"X15Y",5.98,4.96142531868331
"23",2006-09-20,"X15Y",5.98,4.98775330847957
"24",2007-01-08,"X15Y",5.99,5.03325723608779
"25",2007-01-11,"X15Y",5.99,5.03608638701283
"26",2007-04-02,"X15Y",5.92,5.03025905593577
"27",2006-10-02,"X20Y",5.96,4.9592456119271
"28",2006-10-12,"X20Y",5.97,4.94150890969791
"29",2006-10-24,"X20Y",5.97,4.89598144464524
