Date,6M ,9M,1Y,2Y,3Y,4Y,5Y,7Y,10Y
7/9/2014,3.615,3.65,3.69,3.785,3.88,3.985,4.09,4.28,4.47
7/8/2014,3.62,3.65,3.675,3.775,3.88,3.98,4.085,4.275,4.48
7/7/2014,3.615,3.65,3.69,3.795,3.9,4,4.105,4.295,4.495
7/4/2014,3.615,3.65,3.68,3.785,3.89,4,4.105,4.295,4.495
7/3/2014,3.615,3.65,3.685,3.785,3.89,3.995,4.095,4.285,4.485
7/2/2014,3.615,3.65,3.675,3.775,3.875,3.97,4.07,4.26,4.455
7/1/2014,3.61,3.645,3.68,3.78,3.88,3.98,4.08,4.27,4.465
6/30/2014,3.61,3.645,3.68,3.78,3.885,3.985,4.09,4.28,4.475
6/27/2014,3.615,3.65,3.68,3.78,3.89,4,4.105,4.295,4.49
6/26/2014,3.62,3.655,3.685,3.79,3.9,4.01,4.12,4.31,4.505
6/25/2014,3.62,3.655,3.69,3.8,3.91,4.02,4.13,4.32,4.52
6/24/2014,3.61,3.65,3.675,3.79,3.9,4.01,4.12,4.31,4.51
6/23/2014,3.61,3.65,3.68,3.795,3.91,4.015,4.125,4.315,4.515
6/20/2014,3.61,3.65,3.685,3.8,3.92,4.025,4.14,4.34,4.53
6/19/2014,3.605,3.64,3.675,3.785,3.905,4.01,4.125,4.325,4.515
6/18/2014,3.58,3.625,3.665,3.785,3.91,4.025,4.145,4.345,4.54
6/17/2014,3.575,3.625,3.675,3.79,3.91,4.015,4.13,4.33,4.52
6/16/2014,3.575,3.625,3.665,3.775,3.89,4.005,4.115,4.315,4.505
6/13/2014,3.575,3.625,3.67,3.78,3.895,4.005,4.115,4.32,4.515
6/12/2014,3.57,3.615,3.655,3.77,3.89,4,4.115,4.325,4.525
6/11/2014,3.57,3.615,3.66,3.78,3.9,4.01,4.125,4.335,4.535
6/10/2014,3.57,3.615,3.66,3.78,3.9,4.01,4.12,4.33,4.53
6/9/2014,3.57,3.61,3.655,3.775,3.895,4.01,4.12,4.33,4.525
6/6/2014,3.56,3.605,3.65,3.76,3.875,3.985,4.095,4.305,4.5
6/5/2014,3.56,3.605,3.655,3.77,3.885,4,4.115,4.325,4.525
6/4/2014,3.57,3.62,3.655,3.775,3.89,4,4.115,4.325,4.525
6/3/2014,3.56,3.61,3.65,3.76,3.875,3.99,4.105,4.315,4.515
6/2/2014,3.545,3.6,3.64,3.755,3.87,3.975,4.085,4.285,4.495
5/30/2014,3.54,3.585,3.635,3.75,3.865,3.97,4.08,4.28,4.48
5/29/2014,3.525,3.58,3.63,3.75,3.86,3.965,4.075,4.27,4.48
5/28/2014,3.525,3.58,3.625,3.755,3.875,3.99,4.105,4.31,4.53
5/27/2014,3.525,3.58,3.625,3.765,3.89,4.015,4.135,4.34,4.565
5/26/2014,3.515,3.585,3.64,3.78,3.905,4.025,4.145,4.35,4.565
5/23/2014,3.505,3.575,3.63,3.775,3.9,4.025,4.14,4.345,4.56
5/22/2014,3.5,3.575,3.63,3.775,3.9,4.025,4.14,4.345,4.56
5/21/2014,3.51,3.59,3.64,3.775,3.895,4.01,4.12,4.325,4.54
5/20/2014,3.5,3.575,3.64,3.785,3.905,4.025,4.14,4.34,4.56
5/19/2014,3.485,3.575,3.655,3.795,3.91,4.02,4.13,4.33,4.545
5/16/2014,3.475,3.56,3.61,3.75,3.86,3.97,4.075,4.27,4.48
5/15/2014,3.465,3.545,3.6,3.74,3.855,3.96,4.06,4.255,4.46
5/14/2014,3.475,3.555,3.595,3.73,3.85,3.955,4.06,4.265,4.455
5/13/2014,3.475,3.56,3.6,3.745,3.865,3.975,4.085,4.305,4.49
5/12/2014,3.475,3.56,3.6,3.745,3.865,3.975,4.085,4.305,4.49
5/9/2014,3.475,3.575,3.625,3.76,3.88,3.985,4.085,4.295,4.495
5/8/2014,3.43,3.47,3.505,3.64,3.765,3.88,3.99,4.215,4.425
5/7/2014,3.425,3.47,3.505,3.64,3.77,3.89,4,4.23,4.455
5/6/2014,3.425,3.455,3.505,3.64,3.775,3.91,4.03,4.26,4.5
5/5/2014,3.43,3.455,3.505,3.64,3.775,3.9,4.02,4.26,4.485
5/2/2014,3.43,3.465,3.515,3.65,3.785,3.915,4.045,4.29,4.525
5/1/2014,3.43,3.465,3.515,3.645,3.785,3.925,4.055,4.3,4.535
4/30/2014,3.43,3.465,3.515,3.645,3.785,3.925,4.055,4.3,4.535
4/29/2014,3.43,3.465,3.52,3.66,3.8,3.94,4.07,4.315,4.56
4/28/2014,3.43,3.47,3.525,3.67,3.81,3.95,4.085,4.33,4.575
4/25/2014,3.425,3.47,3.52,3.665,3.81,3.945,4.08,4.325,4.575
4/24/2014,3.42,3.47,3.53,3.68,3.825,3.965,4.1,4.345,4.6
4/23/2014,3.415,3.465,3.525,3.68,3.83,3.97,4.105,4.35,4.605
4/22/2014,3.405,3.45,3.51,3.665,3.81,3.96,4.095,4.335,4.59
4/21/2014,3.405,3.455,3.515,3.67,3.815,3.96,4.095,4.335,4.585
4/18/2014,3.395,3.455,3.51,3.67,3.815,3.96,4.1,4.35,4.59
4/17/2014,3.395,3.45,3.505,3.66,3.805,3.945,4.08,4.33,4.56
4/16/2014,3.395,3.45,3.51,3.67,3.815,3.96,4.1,4.35,4.59
4/15/2014,3.39,3.45,3.51,3.67,3.82,3.965,4.1,4.345,4.585
4/14/2014,3.39,3.45,3.505,3.66,3.8,3.94,4.075,4.315,4.555
4/11/2014,3.405,3.47,3.52,3.675,3.815,3.95,4.085,4.33,4.565
4/10/2014,3.37,3.43,3.48,3.635,3.78,3.925,4.07,4.325,4.565
4/9/2014,3.37,3.42,3.48,3.64,3.795,3.94,4.09,4.35,4.585
4/8/2014,3.36,3.43,3.49,3.64,3.8,3.95,4.1,4.36,4.615
4/7/2014,3.37,3.435,3.495,3.655,3.815,3.965,4.115,4.375,4.63
4/4/2014,3.38,3.455,3.515,3.69,3.86,4.015,4.17,4.43,4.69
4/3/2014,3.38,3.445,3.505,3.685,3.855,4,4.15,4.41,4.68
4/2/2014,3.375,3.44,3.5,3.685,3.85,3.99,4.14,4.4,4.65
4/1/2014,3.3725,3.435,3.495,3.665,3.825,3.97,4.125,4.385,4.635
3/31/2014,3.385,3.44,3.5,3.675,3.83,3.98,4.135,4.395,4.645
3/28/2014,3.375,3.425,3.475,3.645,3.81,3.95,4.105,4.365,4.62
3/27/2014,3.375,3.425,3.475,3.645,3.8075,3.95,4.105,4.365,4.62
3/26/2014,3.375,3.425,3.475,3.64,3.805,3.96,4.115,4.375,4.64
3/25/2014,3.355,3.405,3.455,3.615,3.78,3.94,4.095,4.36,4.62
3/24/2014,3.36,3.41,3.46,3.615,3.78,3.945,4.105,4.37,4.64
3/21/2014,3.34,3.39,3.44,3.59,3.745,3.905,4.07,4.33,4.6
3/20/2014,3.335,3.385,3.435,3.59,3.75,3.91,4.075,4.335,4.605
3/19/2014,3.34,3.39,3.44,3.585,3.73,3.875,4.02,4.275,4.545
