"","X6M","X9M","X1Y","X2Y","X3Y","X4Y","X5Y","X7Y","X10Y"
"2009-05-27",2.0925,2.1325,2.17,2.46,2.835,3.215,3.595,4.015,4.4425
"2009-05-28",2.0825,2.1225,2.15,2.445,2.82,3.205,3.575,4.005,4.45
"2009-05-29",2.085,2.125,2.155,2.445,2.825,3.165,3.555,4,4.4
"2009-06-01",2.145,2.155,2.175,2.475,2.865,3.28,3.645,4.08,4.5
"2009-06-02",2.13,2.145,2.175,2.5,2.895,3.3,3.695,4.12,4.55
"2009-06-03",2.11,2.14,2.165,2.5,2.895,3.2925,3.675,4.0775,4.53
"2009-06-04",2.1075,2.1375,2.155,2.495,2.885,3.2875,3.67,4.0675,4.5025
"2009-06-05",2.115,2.145,2.165,2.495,2.895,3.29,3.68,4.06,4.49
"2009-06-08",2.1325,2.1825,2.24,2.605,2.975,3.335,3.725,4.08,4.52
"2009-06-09",2.1275,2.2025,2.255,2.65,3.045,3.355,3.745,4.175,4.525
"2009-06-10",2.125,2.195,2.32,2.7,3.115,3.445,3.8,4.075,4.55
"2009-06-11",2.1575,2.2375,2.34,2.795,3.175,3.515,3.935,4.25,4.65
"2009-06-12",2.1275,2.2075,2.295,2.755,3.13,3.515,3.875,4.215,4.635
"2009-06-15",2.1175,2.1875,2.27,2.695,3.055,3.43,3.8025,4.1425,4.5725
"2009-06-16",2.1175,2.1875,2.27,2.71,3.095,3.445,3.815,4.15,4.6
"2009-06-17",2.125,2.19,2.27,2.68,3.06,3.425,3.785,4.13,4.55
"2009-06-18",2.1375,2.1925,2.275,2.63,3.025,3.405,3.745,4.1,4.52
"2009-06-19",2.1275,2.1975,2.28,2.65,3.055,3.42,3.77,4.13,4.575
"2009-06-22",2.11,2.17,2.24,2.6,2.98,3.35,3.74,4.06,4.505
"2009-06-23",2.14,2.185,2.255,2.605,2.97,3.375,3.74,4.1,4.55
"2009-06-24",2.1425,2.1875,2.245,2.595,2.9775,3.355,3.725,4.08,4.54
"2009-06-25",2.1375,2.2075,2.25,2.645,3.025,3.4,3.765,4.13,4.61
"2009-06-26",2.1525,2.2075,2.255,2.61,3.035,3.405,3.75,4.15,4.65
"2009-06-29",2.1325,2.1875,2.245,2.62,3.01,3.38,3.74,4.13,4.61
"2009-06-30",2.1325,2.1925,2.265,2.645,3.045,3.415,3.77,4.18,4.64
"2009-07-01",2.1275,2.1775,2.255,2.645,3.025,3.41,3.775,4.185,4.67
"2009-07-02",2.1425,2.1925,2.27,2.65,3.045,3.435,3.815,4.225,4.685
"2009-07-03",2.1275,2.1775,2.255,2.63,3.005,3.36,3.745,4.15,4.625
"2009-07-06",2.1375,2.1875,2.255,2.645,3.03,3.35,3.76,4.15,4.65
"2009-07-07",2.1325,2.1825,2.255,2.635,3.025,3.385,3.76,4.15,4.65
"2009-07-08",2.1575,2.1875,2.225,2.55,2.925,3.275,3.64,4.085,4.5475
"2009-07-09",2.1525,2.1775,2.2,2.47,2.83,3.28,3.59,4,4.43
"2009-07-10",2.125,2.155,2.2,2.48,2.83,3.18,3.55,3.9,4.39
"2009-07-13",2.135,2.165,2.195,2.49,2.815,3.185,3.525,3.93,4.4
"2009-07-14",2.155,2.1875,2.195,2.525,2.875,3.23,3.585,3.95,4.42
"2009-07-15",2.1475,2.1825,2.23,2.54,2.905,3.265,3.63,4.02,4.48
"2009-07-16",2.1425,2.1775,2.22,2.55,2.93,3.26,3.65,4.05,4.5
"2009-07-17",2.145,2.18,2.225,2.55,2.8925,3.275,3.585,3.98,4.405
"2009-07-20",2.1375,2.1775,2.225,2.565,2.925,3.285,3.66,4.05,4.5
"2009-07-21",2.1525,2.1825,2.225,2.595,2.97,3.325,3.675,4.07,4.53
"2009-07-22",2.145,2.17,2.22,2.57,2.955,3.295,3.615,4.005,4.435
"2009-07-23",2.1475,2.1775,2.225,2.58,2.97,3.315,3.63,4.0225,4.4525
"2009-07-24",2.14,2.175,2.23,2.5825,2.965,3.305,3.63,4.02,4.45
"2009-07-27",2.1375,2.1725,2.22,2.575,2.96,3.305,3.61,4.005,4.425
"2009-07-28",2.145,2.18,2.215,2.595,2.97,3.3025,3.605,3.99,4.435
"2009-07-29",2.1375,2.1725,2.225,2.59,2.965,3.325,3.625,4,4.45
"2009-07-30",2.16,2.195,2.24,2.62,3,3.345,3.65,4.03,4.47
"2009-07-31",2.145,2.1775,2.23,2.62,3.01,3.33,3.63,4.02,4.47
"2009-08-03",2.1375,2.1625,2.23,2.62,2.975,3.275,3.595,3.95,4.35
"2009-08-04",2.16,2.185,2.25,2.66,3.025,3.325,3.61,3.95,4.38
"2009-08-05",2.18,2.22,2.3,2.7,3.02,3.34,3.7,4,4.465
"2009-08-06",2.2075,2.2775,2.3625,2.81,3.1475,3.4925,3.81,4.13,4.55
"2009-08-07",2.1625,2.2275,2.33,2.765,3.1075,3.48,3.795,4.12,4.5175
"2009-08-10",2.1825,2.2525,2.365,2.81,3.175,3.5575,3.88,4.1875,4.5875
"2009-08-11",2.16,2.23,2.35,2.79,3.11,3.45,3.83,4.13,4.55
"2009-08-12",2.1375,2.2025,2.325,2.73,3.075,3.4275,3.755,4.0575,4.4725
"2009-08-13",2.1725,2.2425,2.35,2.78,3.13,3.48,3.8175,4.13,4.53
"2009-08-14",2.1625,2.2275,2.375,2.795,3.125,3.465,3.79,4.1,4.5
"2009-08-17",2.1475,2.2075,2.34,2.735,3.055,3.405,3.715,4.02,4.4
"2009-08-18",2.1575,2.2175,2.34,2.74,3.075,3.41,3.74,4.03,4.43
"2009-08-19",2.1375,2.1875,2.34,2.73,3.05,3.39,3.7,4.03,4.375
"2009-08-20",2.1675,2.2175,2.325,2.73,3.075,3.395,3.735,4.035,4.425
"2009-08-21",2.1425,2.1925,2.305,2.685,3.025,3.355,3.685,3.985,4.38
"2009-08-24",2.145,2.205,2.325,2.725,3.075,3.405,3.725,4.08,4.425
"2009-08-25",2.1475,2.2075,2.31,2.705,3.05,3.375,3.705,3.98,4.4
"2009-08-26",2.1575,2.2225,2.3,2.74,3.085,3.4,3.735,4.05,4.45
"2009-08-27",2.1475,2.2125,2.32,2.71,3.055,3.375,3.71,4.01,4.42
"2009-08-28",2.1525,2.2325,2.33,2.75,3.09,3.41,3.75,4.05,4.46
"2009-08-31",2.1525,2.2325,2.33,2.725,3.075,3.405,3.725,4.05,4.45
"2009-09-01",2.1475,2.2175,2.33,2.73,3.07,3.4,3.72,4.035,4.425
"2009-09-02",2.1525,2.2175,2.277,2.725,3.065,3.4,3.715,4.035,4.435
"2009-09-03",2.1675,2.2075,2.325,2.7,3,3.355,3.68,3.95,4.39
"2009-09-04",2.1725,2.2225,2.32,2.7,3,3.32,3.65,3.95,4.38
"2009-09-07",2.1675,2.2075,2.33,2.695,3.04,3.41,3.665,4.05,4.39
"2009-09-08",2.1675,2.2075,2.33,2.715,3.025,3.345,3.665,3.97,4.39
