"","Date","Tenor","Original","Interpolated"
"1",2010-03-08,"X6M",1.5,2.25458973949118
"2",2010-03-09,"X6M",1.5,2.27502480818697
"3",2010-03-10,"X6M",1.5,2.29836648087251
"4",2010-03-11,"X6M",1.5,2.32404277565821
"5",2010-03-12,"X6M",1.5,2.35148171065453
"6",2010-03-15,"X6M",1.5,2.38011130397192
"7",2010-03-16,"X6M",1.5,2.40935957372082
"8",2010-03-17,"X6M",1.5,2.43865453801166
"9",2010-03-18,"X6M",1.5,2.46742421495491
"10",2010-03-19,"X6M",1.5,2.49509662266099
"11",2010-03-08,"X9M",1.5,2.30485865716529
"12",2010-03-09,"X9M",1.5,2.32962476921958
"13",2010-03-10,"X9M",1.5,2.35812801908595
"14",2010-03-11,"X9M",1.5,2.38963070808638
"15",2010-03-12,"X9M",1.5,2.42339513754281
"16",2010-03-15,"X9M",1.5,2.45868360877721
"17",2010-03-16,"X9M",1.5,2.49475842311155
"18",2010-03-17,"X9M",1.5,2.53088188186779
"19",2010-03-18,"X9M",1.5,2.56631628636788
"20",2010-03-19,"X9M",1.5,2.6003239379338
