Date,1M ,2M,3M
7/9/2014,3.16,3.45,3.57
7/8/2014,3.15,3.45,3.57
7/7/2014,3.15,3.45,3.56
7/4/2014,3.15,3.45,3.56
7/3/2014,3.15,3.45,3.56
7/2/2014,3.15,3.44,3.56
7/1/2014,3.15,3.44,3.55
6/30/2014,3.15,3.44,3.55
6/27/2014,3.15,3.43,3.54
6/26/2014,3.15,3.42,3.54
6/25/2014,3.15,3.42,3.54
6/24/2014,3.15,3.42,3.53
6/23/2014,3.15,3.42,3.53
6/20/2014,3.15,3.41,3.52
6/19/2014,3.15,3.41,3.52
6/18/2014,3.15,3.41,3.52
6/17/2014,3.15,3.41,3.52
6/16/2014,3.15,3.41,3.52
6/13/2014,3.15,3.4,3.52
6/12/2014,3.15,3.4,3.51
6/11/2014,3.15,3.4,3.51
6/10/2014,3.15,3.39,3.51
6/9/2014,3.15,3.39,3.5
6/6/2014,3.15,3.38,3.49
6/5/2014,3.15,3.38,3.49
6/4/2014,3.15,3.38,3.49
6/3/2014,3.15,3.37,3.49
6/2/2014,3.15,3.36,3.48
5/30/2014,3.15,3.36,3.48
5/29/2014,3.15,3.35,3.47
5/28/2014,3.15,3.34,3.46
5/27/2014,3.15,3.32,3.45
5/26/2014,3.15,3.32,3.44
5/23/2014,3.15,3.32,3.44
5/22/2014,3.15,3.31,3.43
5/21/2014,3.15,3.31,3.43
5/20/2014,3.15,3.3,3.42
5/19/2014,3.15,3.3,3.41
5/16/2014,3.14,3.3,3.4
5/15/2014,3.15,3.3,3.4
5/14/2014,3.15,3.3,3.4
5/13/2014,3.15,3.3,3.39
5/12/2014,3.15,3.3,3.39
5/9/2014,3.15,3.3,3.39
5/8/2014,3.15,3.3,3.38
5/7/2014,3.15,3.3,3.38
5/6/2014,3.15,3.3,3.38
5/5/2014,3.15,3.29,3.38
5/2/2014,3.15,3.29,3.38
5/1/2014,3.15,3.29,3.38
4/30/2014,3.15,3.29,3.38
4/29/2014,3.15,3.29,3.37
4/28/2014,3.15,3.29,3.37
4/25/2014,3.15,3.29,3.37
4/24/2014,3.15,3.29,3.36
4/23/2014,3.15,3.29,3.36
4/22/2014,3.15,3.29,3.36
4/21/2014,3.15,3.29,3.36
4/18/2014,3.15,3.29,3.35
4/17/2014,3.15,3.29,3.35
4/16/2014,3.15,3.29,3.35
4/15/2014,3.15,3.29,3.34
4/14/2014,3.15,3.28,3.34
4/11/2014,3.15,3.28,3.34
4/10/2014,3.15,3.28,3.34
4/9/2014,3.15,3.28,3.33
4/8/2014,3.15,3.28,3.33
4/7/2014,3.15,3.28,3.33
4/4/2014,3.15,3.28,3.33
4/3/2014,3.15,3.28,3.33
4/2/2014,3.15,3.27,3.33
4/1/2014,3.15,3.27,3.33
3/31/2014,3.15,3.27,3.33
3/28/2014,3.15,3.27,3.33
3/27/2014,3.15,3.27,3.33
3/26/2014,3.15,3.27,3.33
3/25/2014,3.15,3.27,3.32
3/24/2014,3.15,3.27,3.32
3/21/2014,3.15,3.27,3.32
3/20/2014,3.15,3.27,3.32
3/19/2014,3.15,3.27,3.32
3/18/2014,3.15,3.27,3.32
3/17/2014,3.15,3.26,3.31
3/14/2014,3.15,3.26,3.31
3/13/2014,3.15,3.26,3.31
3/12/2014,3.15,3.26,3.31
3/11/2014,3.15,3.26,3.31
3/10/2014,3.15,3.26,3.31
3/7/2014,3.15,3.26,3.31
3/6/2014,3.15,3.26,3.31
3/5/2014,3.15,3.26,3.31
3/4/2014,3.15,3.26,3.31
3/3/2014,3.15,3.26,3.31
2/28/2014,3.15,3.26,3.31
2/27/2014,3.14,3.26,3.31
2/26/2014,3.14,3.26,3.31
2/25/2014,3.14,3.26,3.3
2/24/2014,3.14,3.26,3.3
2/21/2014,3.14,3.26,3.3
2/20/2014,3.14,3.26,3.3
2/19/2014,3.14,3.26,3.29
2/18/2014,3.14,3.26,3.29
2/17/2014,3.14,3.26,3.29
2/14/2014,3.14,3.26,3.29
2/13/2014,3.14,3.26,3.29
2/12/2014,3.14,3.26,3.29
2/11/2014,3.14,3.26,3.29
2/10/2014,3.14,3.26,3.29
2/7/2014,3.14,3.26,3.29
2/6/2014,3.14,3.26,3.29
2/5/2014,3.14,3.26,3.29
2/4/2014,3.15,3.26,3.29
2/3/2014,3.15,3.26,3.29
1/31/2014,3.15,3.26,3.29
1/30/2014,3.15,3.26,3.29
1/29/2014,3.15,3.26,3.29
1/28/2014,3.15,3.26,3.29
1/27/2014,3.15,3.26,3.29
1/24/2014,3.15,3.26,3.29
1/23/2014,3.15,3.26,3.29
1/22/2014,3.15,3.26,3.29
1/21/2014,3.15,3.26,3.29
1/20/2014,3.15,3.26,3.29
1/17/2014,3.15,3.26,3.29
1/16/2014,3.15,3.26,3.29
1/15/2014,3.15,3.26,3.29
1/14/2014,3.15,3.26,3.29
1/13/2014,3.15,3.26,3.29
1/10/2014,3.15,3.27,3.29
1/9/2014,3.15,3.27,3.29
1/8/2014,3.15,3.27,3.29
1/7/2014,3.15,3.27,3.29
1/6/2014,3.15,3.27,3.3
1/3/2014,3.15,3.27,3.3
1/2/2014,3.15,3.28,3.31
1/1/2014,3.16,3.29,3.32
12/31/2013,3.16,3.29,3.32
12/30/2013,3.16,3.28,3.31
12/27/2013,3.15,3.27,3.3
12/26/2013,3.15,3.25,3.29
12/25/2013,3.14,3.24,3.27
12/24/2013,3.14,3.24,3.27
12/23/2013,3.13,3.23,3.26
12/20/2013,3.13,3.22,3.25
12/19/2013,3.11,3.21,3.24
12/18/2013,3.11,3.2,3.24
12/17/2013,3.1,3.19,3.24
12/16/2013,3.1,3.19,3.23
12/13/2013,3.1,3.19,3.23
12/12/2013,3.1,3.18,3.23
12/11/2013,3.1,3.18,3.23
12/10/2013,3.1,3.18,3.22
12/9/2013,3.1,3.18,3.22
12/6/2013,3.1,3.18,3.22
12/5/2013,3.1,3.18,3.22
12/4/2013,3.1,3.18,3.22
12/3/2013,3.1,3.18,3.22
12/2/2013,3.1,3.18,3.22
11/29/2013,3.1,3.18,3.22
11/28/2013,3.1,3.18,3.22
11/27/2013,3.1,3.18,3.21
11/26/2013,3.1,3.18,3.21
11/25/2013,3.1,3.18,3.21
11/22/2013,3.1,3.18,3.21
11/21/2013,3.1,3.18,3.21
11/20/2013,3.1,3.18,3.21
11/19/2013,3.1,3.18,3.21
11/18/2013,3.1,3.18,3.21
11/15/2013,3.1,3.18,3.21
11/14/2013,3.1,3.18,3.21
11/13/2013,3.1,3.18,3.21
11/12/2013,3.1,3.18,3.21
11/11/2013,3.1,3.18,3.21
11/8/2013,3.1,3.18,3.21
11/7/2013,3.1,3.18,3.21
11/6/2013,3.1,3.18,3.21
11/5/2013,3.1,3.18,3.21
11/4/2013,3.1,3.18,3.21
11/1/2013,3.1,3.18,3.21
10/31/2013,3.1,3.18,3.21
10/30/2013,3.1,3.18,3.21
10/29/2013,3.1,3.18,3.21
10/28/2013,3.1,3.18,3.21
10/25/2013,3.1,3.18,3.21
10/24/2013,3.1,3.18,3.21
10/23/2013,3.1,3.18,3.21
10/22/2013,3.1,3.18,3.21
10/21/2013,3.1,3.18,3.21
10/18/2013,3.1,3.18,3.21
10/17/2013,3.1,3.18,3.21
10/16/2013,3.1,3.18,3.21
10/15/2013,3.1,3.18,3.21
10/14/2013,3.1,3.18,3.21
10/11/2013,3.1,3.18,3.21
10/10/2013,3.1,3.18,3.21
10/9/2013,3.1,3.17,3.21
10/8/2013,3.1,3.17,3.21
10/7/2013,3.1,3.17,3.21
10/4/2013,3.1,3.17,3.21
10/3/2013,3.1,3.17,3.21
10/2/2013,3.1,3.17,3.21
10/1/2013,3.1,3.17,3.21
9/30/2013,3.1,3.17,3.21
9/27/2013,3.1,3.17,3.21
9/26/2013,3.1,3.17,3.21
9/25/2013,3.1,3.17,3.2
9/24/2013,3.1,3.17,3.2
9/23/2013,3.1,3.17,3.2
9/20/2013,3.1,3.17,3.2
9/19/2013,3.1,3.17,3.2
9/18/2013,3.1,3.17,3.2
9/17/2013,3.1,3.17,3.2
9/16/2013,3.1,3.17,3.2
9/13/2013,3.1,3.17,3.2
9/12/2013,3.1,3.17,3.2
9/11/2013,3.1,3.17,3.2
9/10/2013,3.1,3.17,3.2
9/9/2013,3.1,3.17,3.2
9/6/2013,3.1,3.17,3.2
9/5/2013,3.1,3.17,3.2
9/4/2013,3.1,3.17,3.2
9/3/2013,3.1,3.17,3.2
9/2/2013,3.1,3.17,3.2
8/30/2013,3.1,3.17,3.2
8/29/2013,3.1,3.17,3.2
8/28/2013,3.1,3.17,3.2
8/27/2013,3.1,3.17,3.2
8/26/2013,3.1,3.17,3.2
8/23/2013,3.1,3.17,3.2
8/22/2013,3.1,3.17,3.2
8/21/2013,3.1,3.17,3.2
8/20/2013,3.1,3.17,3.2
8/19/2013,3.1,3.17,3.2
8/16/2013,3.1,3.17,3.2
8/15/2013,3.1,3.17,3.2
8/14/2013,3.1,3.17,3.2
8/13/2013,3.1,3.17,3.2
8/12/2013,3.1,3.17,3.2
8/9/2013,3.1,3.17,3.2
8/8/2013,3.1,3.17,3.2
8/7/2013,3.1,3.17,3.2
8/6/2013,3.1,3.17,3.2
8/5/2013,3.1,3.17,3.2
8/2/2013,3.1,3.17,3.2
8/1/2013,3.1,3.17,3.2
7/31/2013,3.1,3.17,3.2
7/30/2013,3.1,3.17,3.2
7/29/2013,3.1,3.17,3.2
7/26/2013,3.1,3.17,3.2
7/25/2013,3.1,3.17,3.2
7/24/2013,3.1,3.17,3.2
7/23/2013,3.1,3.17,3.2
7/22/2013,3.1,3.17,3.2
7/19/2013,3.1,3.17,3.2
7/18/2013,3.1,3.17,3.2
7/17/2013,3.1,3.17,3.2
7/16/2013,3.1,3.17,3.2
7/15/2013,3.1,3.17,3.2
7/12/2013,3.1,3.17,3.2
7/11/2013,3.1,3.17,3.2
7/10/2013,3.1,3.17,3.2
7/9/2013,3.1,3.17,3.2
7/8/2013,3.1,3.17,3.2
7/5/2013,3.1,3.17,3.2
7/4/2013,3.1,3.17,3.2
7/3/2013,3.1,3.17,3.2
7/2/2013,3.1,3.17,3.2
7/1/2013,3.1,3.17,3.2
6/28/2013,3.1,3.17,3.2
6/27/2013,3.1,3.17,3.2
6/26/2013,3.1,3.17,3.2
6/25/2013,3.1,3.17,3.2
6/24/2013,3.1,3.17,3.2
6/21/2013,3.1,3.17,3.2
6/20/2013,3.1,3.17,3.2
6/19/2013,3.1,3.17,3.2
6/18/2013,3.1,3.17,3.2
6/17/2013,3.1,3.17,3.2
6/14/2013,3.1,3.17,3.2
6/13/2013,3.1,3.17,3.21
6/12/2013,3.1,3.18,3.21
6/11/2013,3.1,3.18,3.21
6/10/2013,3.1,3.18,3.21
6/7/2013,3.1,3.18,3.21
6/6/2013,3.1,3.18,3.21
6/5/2013,3.1,3.18,3.21
6/4/2013,3.1,3.18,3.21
6/3/2013,3.1,3.18,3.21
5/31/2013,3.1,3.18,3.21
5/30/2013,3.1,3.18,3.21
5/29/2013,3.1,3.18,3.21
5/28/2013,3.1,3.18,3.21
5/27/2013,3.1,3.18,3.21
5/24/2013,3.1,3.18,3.21
5/23/2013,3.1,3.18,3.21
5/22/2013,3.1,3.18,3.21
5/21/2013,3.1,3.18,3.21
5/20/2013,3.1,3.18,3.21
5/17/2013,3.1,3.18,3.21
5/16/2013,3.1,3.18,3.21
5/15/2013,3.1,3.18,3.21
5/14/2013,3.1,3.18,3.21
5/13/2013,3.1,3.18,3.21
5/10/2013,3.1,3.18,3.21
5/9/2013,3.1,3.18,3.21
5/8/2013,3.1,3.18,3.21
5/7/2013,3.1,3.18,3.21
5/6/2013,3.1,3.18,3.21
5/3/2013,3.1,3.18,3.21
5/2/2013,3.1,3.18,3.21
5/1/2013,3.1,3.18,3.21
4/30/2013,3.1,3.18,3.21
4/29/2013,3.1,3.18,3.21
4/26/2013,3.1,3.18,3.21
4/25/2013,3.1,3.18,3.21
4/24/2013,3.1,3.18,3.21
4/23/2013,3.1,3.18,3.21
4/22/2013,3.1,3.18,3.21
4/19/2013,3.1,3.18,3.21
4/18/2013,3.1,3.18,3.21
4/17/2013,3.1,3.18,3.21
4/16/2013,3.1,3.18,3.21
4/15/2013,3.1,3.18,3.21
4/12/2013,3.1,3.18,3.21
4/11/2013,3.1,3.18,3.21
4/10/2013,3.1,3.18,3.21
4/9/2013,3.1,3.18,3.21
4/8/2013,3.1,3.18,3.21
4/5/2013,3.1,3.18,3.21
4/4/2013,3.1,3.18,3.21
4/3/2013,3.1,3.18,3.21
4/2/2013,3.1,3.18,3.21
4/1/2013,3.1,3.18,3.21
3/29/2013,3.1,3.18,3.21
3/28/2013,3.1,3.18,3.21
3/27/2013,3.1,3.18,3.21
3/26/2013,3.1,3.18,3.21
3/25/2013,3.1,3.18,3.21
3/22/2013,3.1,3.18,3.21
3/21/2013,3.1,3.18,3.21
3/20/2013,3.1,3.18,3.21
3/19/2013,3.1,3.18,3.21
3/18/2013,3.1,3.18,3.21
3/15/2013,3.1,3.18,3.21
3/14/2013,3.1,3.18,3.21
3/13/2013,3.1,3.18,3.21
3/12/2013,3.1,3.18,3.21
3/11/2013,3.1,3.18,3.21
3/8/2013,3.1,3.18,3.21
3/7/2013,3.1,3.18,3.21
3/6/2013,3.1,3.18,3.21
3/5/2013,3.1,3.18,3.21
3/4/2013,3.1,3.18,3.21
3/1/2013,3.1,3.18,3.21
2/28/2013,3.1,3.18,3.21
2/27/2013,3.1,3.18,3.21
2/26/2013,3.1,3.18,3.21
2/25/2013,3.1,3.18,3.21
2/22/2013,3.1,3.18,3.21
2/21/2013,3.1,3.18,3.21
2/20/2013,3.1,3.18,3.21
2/19/2013,3.1,3.18,3.21
2/18/2013,3.1,3.18,3.21
2/15/2013,3.1,3.18,3.21
2/14/2013,3.1,3.18,3.21
2/13/2013,3.1,3.18,3.21
2/12/2013,3.1,3.18,3.21
2/11/2013,3.1,3.18,3.21
2/8/2013,3.1,3.18,3.21
2/7/2013,3.1,3.18,3.21
2/6/2013,3.1,3.18,3.21
2/5/2013,3.1,3.18,3.21
2/4/2013,3.1,3.18,3.21
2/1/2013,3.1,3.18,3.21
1/31/2013,3.1,3.18,3.21
1/30/2013,3.1,3.18,3.21
1/29/2013,3.1,3.18,3.21
1/28/2013,3.1,3.18,3.21
1/25/2013,3.1,3.18,3.21
1/24/2013,3.1,3.18,3.21
1/23/2013,3.1,3.18,3.21
1/22/2013,3.1,3.18,3.21
1/21/2013,3.1,3.18,3.21
1/18/2013,3.1,3.18,3.21
1/17/2013,3.1,3.18,3.21
1/16/2013,3.1,3.18,3.21
1/15/2013,3.1,3.18,3.21
1/14/2013,3.1,3.18,3.21
1/11/2013,3.1,3.18,3.21
1/10/2013,3.1,3.18,3.21
1/9/2013,3.1,3.18,3.21
1/8/2013,3.1,3.18,3.21
1/7/2013,3.1,3.18,3.21
1/4/2013,3.1,3.18,3.21
1/3/2013,3.1,3.18,3.21
1/2/2013,3.1,3.18,3.21
1/1/2013,3.1,3.18,3.21
12/31/2012,3.1,3.18,3.21
12/28/2012,3.1,3.18,3.21
12/27/2012,3.1,3.18,3.21
12/26/2012,3.1,3.18,3.21
12/25/2012,3.1,3.18,3.21
12/24/2012,3.1,3.18,3.21
12/21/2012,3.1,3.17,3.21
