"","date","indicator","X1M","X2M","X3M"
"1",2000-01-03,0,2.91,3,3.2
"2",2000-01-04,0,2.91,3,3.2
"3",2000-01-05,0,2.9,3,3.2
"4",2000-01-06,0,2.9,3,3.2
"5",2000-01-07,0,2.9,3,3.2
"6",2000-01-10,0,2.9,3,3.2
"7",2000-01-11,0,2.9,3,3.19
"8",2000-01-12,0,2.88,3,3.2
"9",2000-01-13,0,2.88,2.99,3.2
"10",2000-01-14,0,2.88,2.99,3.2
"11",2000-01-17,0,2.87,2.98,3.19
"12",2000-01-18,0,2.87,2.98,3.19
"13",2000-01-19,0,2.87,2.98,3.19
"14",2000-01-20,0,2.86,2.98,3.19
"15",2000-01-21,0,2.86,2.98,3.19
"16",2000-01-24,0,2.86,2.97,3.19
"17",2000-01-25,0,2.85,2.97,3.19
"18",2000-01-26,0,2.85,2.96,3.19
"19",2000-01-27,0,2.85,2.96,3.19
"20",2000-01-28,0,2.84,2.96,3.18
"21",2000-01-31,0,2.84,2.96,3.18
"22",2000-02-01,0,2.84,2.96,3.18
"23",2000-02-02,0,2.84,2.96,3.18
"24",2000-02-03,0,2.84,2.96,3.18
"25",2000-02-04,0,2.85,2.95,3.18
"26",2000-02-07,0,2.85,2.95,3.18
"27",2000-02-08,0,2.85,2.95,3.18
"28",2000-02-09,0,2.85,2.94,3.18
"29",2000-02-10,0,2.85,2.94,3.18
"30",2000-02-11,0,2.83,2.93,3.17
"31",2000-02-14,0,2.83,2.93,3.17
"32",2000-02-15,0,2.83,2.93,3.17
"33",2000-02-16,0,2.83,2.93,3.17
"34",2000-02-17,0,2.83,2.92,3.16
"35",2000-02-18,0,2.82,2.92,3.15
"36",2000-02-21,0,2.82,2.92,3.14
"37",2000-02-22,0,2.82,2.9,3.13
"38",2000-02-23,0,2.82,2.9,3.13
"39",2000-02-24,0,2.81,2.89,3.13
"40",2000-02-25,0,2.81,2.89,3.12
"41",2000-02-28,0,2.81,2.89,3.11
"42",2000-02-29,0,2.81,2.89,3.11
"43",2000-03-01,0,2.81,2.89,3.11
"44",2000-03-02,0,2.81,2.89,3.11
"45",2000-03-03,0,2.81,2.9,3.13
"46",2000-03-06,0,2.82,2.9,3.13
"47",2000-03-07,0,2.82,2.9,3.15
"48",2000-03-08,0,2.81,2.9,3.17
"49",2000-03-09,0,2.81,2.9,3.17
"50",2000-03-10,0,2.81,2.9,3.17
