*,Activity,Transaction Type,Product Type,Originator ID (Submitting Participant Acct),Counterparty ID,Clearing Counterparty ID,Participant Trade Reference Number,Participant Trade Reference Supplement,Match ID,Trade Date,,,Final Settlement  Date,Quote Basis,,,,Master Agreement Date,Master Agreement Type,,Reference Currency Buyer,Reference Currency Seller,Reference Currency Amount,Reference Currency,,,Base Currency Amount,Base Currency,,Forward Contract Rate,Calculation Agent,Settlement Currency,Fixing Date,Fixing Rate Source 1,Fixing Rate Source 1 Time,Fixing Rate Source 1 Business Center,Fixing Rate Source 2,Fixing Rate Source 2 Time,Fixing Rate Source 2 Business Center,Block Reference Number,Participant Clearing Broker,Counterparty Clearing Broker,Number of Allocations,CB Acceptance ,Submission Source
,New,Trade,FxNonDeliverableForward,OCCPHKM1,OCCPHKM2,OCCPHKH1,RM_CNY_201407291tt,,,7/3/2014,,,8/1/2015,Currency1PerCurrency2,,,,,,,OCCPHKM1,OCCPHKM2,6200000,CNY,,,1000000,USD,,6.2,JOINT,USD,7/30/2015,,,,,,,,OCCPHKM1,,,Yes,
,New,Trade,FxNonDeliverableForward,OCCPHKM2,OCCPHKM1,OCCPHKH1,RM_CNY_201407291tt,,,7/3/2014,,,8/1/2015,Currency1PerCurrency2,,,,,,,OCCPHKM1,OCCPHKM2,6200000,CNY,,,1000000,USD,,6.2,JOINT,USD,7/30/2015,,,,,,,,OCCPHKM2,,,Yes,
,New,Trade,FxNonDeliverableForward,OCCPHKM1,OCCPHKM2,OCCPHKH1,RM_TWD_201407291b,,,7/3/2014,,,8/1/2015,Currency1PerCurrency2,,,,,,,OCCPHKM1,OCCPHKM2,33200000,TWD,,,1000000,USD,,33.2,JOINT,USD,7/30/2015,,,,,,,,OCCPHKM1,,,Yes,
,New,Trade,FxNonDeliverableForward,OCCPHKM2,OCCPHKM1,OCCPHKH1,RM_TWD_201407291b,,,7/3/2014,,,8/1/2015,Currency1PerCurrency2,,,,,,,OCCPHKM1,OCCPHKM2,33200000,TWD,,,1000000,USD,,33.2,JOINT,USD,7/30/2015,,,,,,,,OCCPHKM2,,,Yes,
,New,Trade,FxNonDeliverableForward,OCCPHKM1,OCCPHKM2,OCCPHKH1,RM_CNY_20140729b,,,7/3/2014,,,8/2/2015,Currency1PerCurrency2,,,,,,,OCCPHKM1,OCCPHKM2,6200000,CNY,,,1000000,USD,,6.2,JOINT,USD,7/31/2015,,,,,,,,OCCPHKM1,,,Yes,
,New,Trade,FxNonDeliverableForward,OCCPHKM2,OCCPHKM1,OCCPHKH1,RM_CNY_20140729b,,,7/3/2014,,,8/2/2015,Currency1PerCurrency2,,,,,,,OCCPHKM1,OCCPHKM2,6200000,CNY,,,1000000,USD,,6.2,JOINT,USD,7/31/2015,,,,,,,,OCCPHKM2,,,Yes,
,New,Trade,FxNonDeliverableForward,OCCPHKM1,OCCPHKM2,OCCPHKH1,RM_TWD_20140729sb,,,7/3/2014,,,8/2/2015,Currency1PerCurrency2,,,,,,,OCCPHKM1,OCCPHKM2,33200000,TWD,,,1000000,USD,,33.2,JOINT,USD,7/31/2015,,,,,,,,OCCPHKM1,,,Yes,
,New,Trade,FxNonDeliverableForward,OCCPHKM2,OCCPHKM1,OCCPHKH1,RM_TWD_20140729sb,,,7/3/2014,,,8/2/2015,Currency1PerCurrency2,,,,,,,OCCPHKM1,OCCPHKM2,33200000,TWD,,,1000000,USD,,33.2,JOINT,USD,7/31/2015,,,,,,,,OCCPHKM2,,,Yes,
,New,Trade,FxNonDeliverableForward,OCCPHKM1,OCCPHKM2,OCCPHKH1,RM_CNY_201407291mm,,,7/3/2014,,,8/3/2015,Currency1PerCurrency2,,,,,,,OCCPHKM1,OCCPHKM2,6200000,CNY,,,1000000,USD,,6.2,JOINT,USD,8/1/2015,,,,,,,,OCCPHKM1,,,Yes,
,New,Trade,FxNonDeliverableForward,OCCPHKM2,OCCPHKM1,OCCPHKH1,RM_CNY_201407291mm,,,7/3/2014,,,8/3/2015,Currency1PerCurrency2,,,,,,,OCCPHKM1,OCCPHKM2,6200000,CNY,,,1000000,USD,,6.2,JOINT,USD,8/1/2015,,,,,,,,OCCPHKM2,,,Yes,
,New,Trade,FxNonDeliverableForward,OCCPHKM1,OCCPHKM2,OCCPHKH1,RM_TWD_201407291nn,,,7/3/2014,,,8/3/2015,Currency1PerCurrency2,,,,,,,OCCPHKM1,OCCPHKM2,33200000,TWD,,,1000000,USD,,33.2,JOINT,USD,8/1/2015,,,,,,,,OCCPHKM1,,,Yes,
,New,Trade,FxNonDeliverableForward,OCCPHKM2,OCCPHKM1,OCCPHKH1,RM_TWD_201407291nn,,,7/3/2014,,,8/3/2015,Currency1PerCurrency2,,,,,,,OCCPHKM1,OCCPHKM2,33200000,TWD,,,1000000,USD,,33.2,JOINT,USD,8/1/2015,,,,,,,,OCCPHKM2,,,Yes,
