"","X1Y","X2Y","X3Y","X4Y","X5Y","X7Y","X10Y"
"2007-07-12",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-07-13",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-07-16",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-07-17",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-07-18",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-07-19",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-07-20",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-07-23",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-07-24",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-07-25",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-07-26",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-07-27",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-07-30",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-07-31",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-01",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-02",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-03",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-06",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-07",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-08",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-09",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-10",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-13",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-14",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-15",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-16",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-17",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-20",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-21",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-22",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-23",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-24",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-27",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-28",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-29",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-30",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-08-31",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-03",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-04",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-05",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-06",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-07",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-10",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-11",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-12",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-13",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-14",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-17",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-18",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-19",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-20",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-21",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-24",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-25",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-26",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-27",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-09-28",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-10-01",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-10-02",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-10-03",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-10-04",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-10-05",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-10-08",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-10-09",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-10-10",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-10-11",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-10-12",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-10-15",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-10-16",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-10-17",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-10-18",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-10-19",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-10-22",6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2007-10-23",6.35,6.45,6.65,6.75,6.875,7.2,7.25
