"","date","indicator","X1Y","X2Y","X3Y","X4Y","X5Y","X7Y","X10Y"
"1",2007-07-12,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"2",2007-07-13,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"3",2007-07-16,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"4",2007-07-17,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"5",2007-07-18,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"6",2007-07-19,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"7",2007-07-20,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"8",2007-07-23,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"9",2007-07-24,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"10",2007-07-25,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"11",2007-07-26,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"12",2007-07-27,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"13",2007-07-30,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"14",2007-07-31,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"15",2007-08-01,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"16",2007-08-02,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"17",2007-08-03,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"18",2007-08-06,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"19",2007-08-07,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"20",2007-08-08,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"21",2007-08-09,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"22",2007-08-10,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"23",2007-08-13,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"24",2007-08-14,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"25",2007-08-15,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"26",2007-08-16,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"27",2007-08-17,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"28",2007-08-20,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"29",2007-08-21,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"30",2007-08-22,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"31",2007-08-23,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"32",2007-08-24,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"33",2007-08-27,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"34",2007-08-28,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"35",2007-08-29,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"36",2007-08-30,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"37",2007-08-31,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"38",2007-09-03,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"39",2007-09-04,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"40",2007-09-05,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"41",2007-09-06,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"42",2007-09-07,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"43",2007-09-10,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"44",2007-09-11,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"45",2007-09-12,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"46",2007-09-13,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"47",2007-09-14,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"48",2007-09-17,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"49",2007-09-18,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"50",2007-09-19,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"51",2007-09-20,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"52",2007-09-21,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"53",2007-09-24,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"54",2007-09-25,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"55",2007-09-26,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"56",2007-09-27,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"57",2007-09-28,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"58",2007-10-01,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"59",2007-10-02,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"60",2007-10-03,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"61",2007-10-04,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"62",2007-10-05,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"63",2007-10-08,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"64",2007-10-09,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"65",2007-10-10,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"66",2007-10-11,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"67",2007-10-12,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"68",2007-10-15,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"69",2007-10-16,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"70",2007-10-17,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
"71",2007-10-18,0,6.35,6.45,6.65,6.75,6.875,7.2,7.25
