"","Date","Tenor","Original","Interpolated"
"1",2009-07-06,"X1Y",4.1,5.26954351077927
"2",2011-01-11,"X1Y",1.6,2.32696869803068
"3",2009-07-06,"X2Y",4.225,5.38154858288172
"4",2011-01-11,"X2Y",2.15,2.76448896611747
"5",2009-07-06,"X3Y",4.375,5.55753843867681
"6",2011-01-11,"X3Y",2.45,3.18232121346526
"7",2009-07-06,"X4Y",4.375,5.60951815026701
"8",2011-01-11,"X4Y",2.95,3.6340754896219
"9",2009-07-06,"X5Y",4.575,5.77053336657436
"10",2011-01-11,"X5Y",3.5,3.9521868138575
"11",2014-06-16,"X5Y",1.5975,2.8
