Date,3M 
7/9/2014,0.46
7/8/2014,-1.07
7/7/2014,0.75
7/4/2014,0.31
7/3/2014,0.49
7/2/2014,0.98
7/1/2014,0.34
6/30/2014,0.41
6/27/2014,0.55
6/26/2014,0.75
6/25/2014,0.77
6/24/2014,1.07
6/23/2014,0.94
6/20/2014,-0.18
6/19/2014,-0.19
6/18/2014,0.88
6/17/2014,0.89
6/16/2014,0.52
6/13/2014,0.51
6/12/2014,0.43
6/11/2014,0.37
6/10/2014,0.56
6/9/2014,0.31
6/6/2014,0.27
6/5/2014,0.6
6/4/2014,1.11
6/3/2014,1.34
6/2/2014,1.14
5/30/2014,0.49
5/29/2014,0.87
5/28/2014,0.81
5/27/2014,0.33
5/26/2014,0.32
5/23/2014,-0.11
5/22/2014,0.14
5/21/2014,0.47
5/20/2014,0.56
5/19/2014,0.49
5/16/2014,0.5
5/15/2014,-0.28
5/14/2014,-0.29
5/13/2014,-0.03
5/12/2014,0.51
5/9/2014,-0.77
5/8/2014,1.07
5/7/2014,1.25
5/6/2014,0.87
5/5/2014,0.82
5/2/2014,0.97
5/1/2014,0.74
4/30/2014,0.57
4/29/2014,0.83
4/28/2014,0.24
4/25/2014,1
4/24/2014,0.7
4/23/2014,0.72
4/22/2014,1.07
4/21/2014,1.25
4/18/2014,0.03
4/17/2014,0.23
4/16/2014,1.01
4/15/2014,0.98
4/14/2014,1.34
4/11/2014,0.98
4/10/2014,-1.45
4/9/2014,-1.43
4/8/2014,1.33
4/7/2014,1.46
4/4/2014,1.27
4/3/2014,2.32
4/2/2014,1.2
4/1/2014,0.65
3/31/2014,0.74
3/28/2014,0.68
3/27/2014,0.87
3/26/2014,2.08
3/25/2014,2.15
3/24/2014,1.96
3/21/2014,2.12
3/20/2014,2.17
3/19/2014,1.38
3/18/2014,1.59
3/17/2014,0.76
3/14/2014,1.18
3/13/2014,1.03
3/12/2014,0.94
3/11/2014,0.89
3/10/2014,0.76
3/7/2014,0.55
3/6/2014,0.47
3/5/2014,1.38
3/4/2014,1.02
3/3/2014,1.14
2/28/2014,1.03
2/27/2014,0.55
2/26/2014,0.03
2/25/2014,0.5
2/24/2014,0.41
2/21/2014,0.18
2/20/2014,0.75
2/19/2014,0.42
2/18/2014,0.29
2/17/2014,0.98
2/14/2014,-0.21
2/13/2014,1.04
2/12/2014,0.87
2/11/2014,0.11
2/10/2014,1.26
2/7/2014,0.45
2/6/2014,0.28
2/5/2014,1.93
2/4/2014,1.97
2/3/2014,2.57
1/31/2014,1.76
1/30/2014,2.23
1/29/2014,1.55
1/28/2014,1.47
1/27/2014,2.7
1/24/2014,3.68
1/23/2014,3.1
1/22/2014,2.69
1/21/2014,2.63
1/20/2014,1.4
1/17/2014,2.08
1/16/2014,1.55
1/15/2014,1.89
1/14/2014,-0.16
1/13/2014,-0.12
1/10/2014,0.07
1/9/2014,0.16
1/8/2014,0.64
1/7/2014,0.39
1/6/2014,1.12
1/3/2014,1.08
1/2/2014,0.14
1/1/2014,0.5
12/31/2013,-2.23
12/30/2013,-0.03
12/27/2013,0.17
12/26/2013,0.4
12/25/2013,0.46
12/24/2013,0.55
12/23/2013,0.01
12/20/2013,0.28
12/19/2013,0.02
12/18/2013,-0.57
12/17/2013,-0.51
12/16/2013,0.41
12/13/2013,0.6
12/12/2013,1.02
12/11/2013,0.1
12/10/2013,-0.04
12/9/2013,-0.78
12/6/2013,0.08
12/5/2013,-0.68
12/4/2013,-1.33
12/3/2013,-1.25
12/2/2013,-0.81
11/29/2013,-1.69
11/28/2013,-1.4
11/27/2013,-1.37
11/26/2013,-1.06
11/25/2013,-1.79
11/22/2013,-1.8
11/21/2013,-1.72
11/20/2013,-1.95
11/19/2013,-1.7
11/18/2013,-1.55
11/15/2013,-1.41
11/14/2013,-0.68
11/13/2013,0.18
11/12/2013,0
11/11/2013,0.03
11/8/2013,-0.63
11/7/2013,-1.13
11/6/2013,-1.28
11/5/2013,-0.53
11/4/2013,-1.05
11/1/2013,-1.06
10/31/2013,-1.71
10/30/2013,-1.84
10/29/2013,-2.41
10/28/2013,-2.2
10/25/2013,-1.9
10/24/2013,-1.8
10/23/2013,-2.07
10/22/2013,-1.92
10/21/2013,-1.59
10/18/2013,-2.34
10/17/2013,-1.79
10/16/2013,-2.09
10/15/2013,-1.83
10/14/2013,-1.82
10/11/2013,-0.85
10/10/2013,-0.79
10/9/2013,-0.5
10/8/2013,-0.98
10/7/2013,-1.49
10/4/2013,-4.15
10/3/2013,-2.39
10/2/2013,-1.51
10/1/2013,-1.48
9/30/2013,-1.08
9/27/2013,-1.26
9/26/2013,-0.92
9/25/2013,-1.01
9/24/2013,-1.42
9/23/2013,-1.41
9/20/2013,-2.09
9/19/2013,-5.3
9/18/2013,-1.51
9/17/2013,-1.79
9/16/2013,-2.1
9/13/2013,-0.41
9/12/2013,-0.79
9/11/2013,-0.55
9/10/2013,-0.32
9/9/2013,-0.67
9/6/2013,0.35
9/5/2013,1.15
9/4/2013,-0.13
9/3/2013,0.75
9/2/2013,0.8
