"","date","indicator","X3M"
"1",2000-01-03,0,9.57
"2",2000-01-04,0,9.49
"3",2000-01-05,0,10.63
"4",2000-01-06,0,10.29
"5",2000-01-07,0,10.11
"6",2000-01-10,0,10.4
"7",2000-01-11,0,9.91
"8",2000-01-12,0,10.7
"9",2000-01-13,0,10.71
"10",2000-01-14,0,10.66
"11",2000-01-17,0,10.33
"12",2000-01-18,0,10.96
"13",2000-01-19,0,10.76
"14",2000-01-20,0,10.81
"15",2000-01-21,0,10.56
"16",2000-01-24,0,10.81
"17",2000-01-25,0,9.87
"18",2000-01-26,0,10.37
"19",2000-01-27,0,9.87
"20",2000-01-28,0,9.96
"21",2000-01-31,0,10.01
"22",2000-02-01,0,9.81
"23",2000-02-02,0,9.91
"24",2000-02-03,0,10.11
"25",2000-02-04,0,10.11
"26",2000-02-07,0,10.11
"27",2000-02-08,0,9.51
"28",2000-02-09,0,9.52
"29",2000-02-10,0,9.02
"30",2000-02-11,0,8.67
"31",2000-02-14,0,9.22
"32",2000-02-15,0,8.86
"33",2000-02-16,0,9.26
"34",2000-02-17,0,9.09
"35",2000-02-18,0,9.14
"36",2000-02-21,0,9.51
"37",2000-02-22,0,9.51
"38",2000-02-23,0,9.61
"39",2000-02-24,0,9.61
"40",2000-02-25,0,9.61
"41",2000-02-28,0,11.64
"42",2000-02-29,0,11.86
"43",2000-03-01,0,10.21
"44",2000-03-02,0,10.77
"45",2000-03-03,0,9.72
"46",2000-03-06,0,10.12
"47",2000-03-07,0,10.12
"48",2000-03-08,0,10.12
"49",2000-03-09,0,10.12
"50",2000-03-10,0,11.12
"51",2000-03-13,0,10.05
"52",2000-03-14,0,10.79
"53",2000-03-15,0,10.65
"54",2000-03-16,0,10.23
"55",2000-03-17,0,10.34
"56",2000-03-20,0,10.45
"57",2000-03-21,0,10.07
"58",2000-03-22,0,9.45
"59",2000-03-23,0,9.45
"60",2000-03-24,0,9.32
"61",2000-03-27,0,9.51
"62",2000-03-28,0,9.34
"63",2000-03-29,0,9.54
"64",2000-03-30,0,9.77
"65",2000-03-31,0,10.57
"66",2000-04-03,0,10.86
"67",2000-04-04,0,10.86
"68",2000-04-05,0,10.86
"69",2000-04-06,0,10.59
"70",2000-04-07,0,9.51
"71",2000-04-10,0,9.51
"72",2000-04-11,0,9.57
"73",2000-04-12,0,10.2
"74",2000-04-13,0,9.71
"75",2000-04-14,0,9.41
"76",2000-04-17,0,10.44
"77",2000-04-18,0,9.81
"78",2000-04-19,0,10.61
"79",2000-04-20,0,10.67
"80",2000-04-21,0,10.67
"81",2000-04-24,0,10.67
"82",2000-04-25,0,11.11
"83",2000-04-26,0,11.32
"84",2000-04-27,0,11.5
"85",2000-04-28,0,12.12
"86",2000-05-01,0,12.12
"87",2000-05-02,0,12.04
"88",2000-05-03,0,12.74
"89",2000-05-04,0,12.16
"90",2000-05-05,0,12.16
"91",2000-05-08,0,14.95
"92",2000-05-09,0,14.73
"93",2000-05-10,0,14.64
"94",2000-05-11,0,14.64
"95",2000-05-12,0,21.02
"96",2000-05-15,0,20.56
"97",2000-05-16,0,23.72
"98",2000-05-17,0,18.26
"99",2000-05-18,0,16.64
"100",2000-05-19,0,15.94
"101",2000-05-22,0,13.7
"102",2000-05-23,0,13.7
"103",2000-05-24,0,22.5
"104",2000-05-25,1,26.35
"105",2000-05-26,0,18.48
"106",2000-05-29,0,19.08
"107",2000-05-30,0,24.6
"108",2000-05-31,0,22.39
"109",2000-06-01,0,20.83
"110",2000-06-02,0,16.2
"111",2000-06-05,0,16.17
"112",2000-06-06,0,16.17
"113",2000-06-07,0,16.26
"114",2000-06-08,0,16.32
"115",2000-06-09,0,21.16
"116",2000-06-12,0,21.79
"117",2000-06-13,0,19.2
"118",2000-06-14,0,19.2
"119",2000-06-15,0,16.31
"120",2000-06-16,0,16.31
"121",2000-06-19,0,20.27
"122",2000-06-20,0,20.27
"123",2000-06-21,0,19.31
"124",2000-06-22,0,20.29
"125",2000-06-23,0,20.88
"126",2000-06-26,0,20.05
"127",2000-06-27,0,19.82
"128",2000-06-28,0,25.78
"129",2000-06-29,0,25.78
"130",2000-06-30,0,25.78
"131",2000-07-03,0,23.63
"132",2000-07-04,0,25.22
"133",2000-07-05,0,25.66
"134",2000-07-06,0,27.17
"135",2000-07-07,0,26.9
"136",2000-07-10,0,27.7
"137",2000-07-11,0,25.09
"138",2000-07-12,0,17.34
"139",2000-07-13,0,14.24
"140",2000-07-14,0,15.63
"141",2000-07-17,0,15.12
"142",2000-07-18,0,17.52
"143",2000-07-19,0,16.56
"144",2000-07-20,0,15.67
"145",2000-07-21,0,15.08
"146",2000-07-24,0,14.89
"147",2000-07-25,0,17.76
"148",2000-07-26,0,20.11
"149",2000-07-27,0,17.01
"150",2000-07-28,0,17.78
"151",2000-07-31,0,20.89
"152",2000-08-01,0,20.29
"153",2000-08-02,0,15.99
"154",2000-08-03,0,14.53
"155",2000-08-04,1,13.14
"156",2000-08-07,1,13.99
"157",2000-08-08,1,14.13
"158",2000-08-09,1,13.2
"159",2000-08-10,1,13.8
"160",2000-08-11,1,12.31
"161",2000-08-14,1,12.31
"162",2000-08-15,1,11.87
"163",2000-08-16,1,12.62
"164",2000-08-17,1,12.37
"165",2000-08-18,1,11.72
"166",2000-08-21,1,11.72
"167",2000-08-22,1,12.92
"168",2000-08-23,1,11.51
"169",2000-08-24,1,11.63
"170",2000-08-25,1,12.34
"171",2000-08-28,1,12.92
"172",2000-08-29,1,13.04
"173",2000-08-30,1,12.73
"174",2000-08-31,1,15.51
"175",2000-09-01,1,15.59
"176",2000-09-04,0,15.85
"177",2000-09-05,0,19.49
"178",2000-09-06,0,19.43
"179",2000-09-07,0,18.13
"180",2000-09-08,0,19.92
"181",2000-09-11,0,21.63
"182",2000-09-12,0,20.42
"183",2000-09-13,0,20.42
"184",2000-09-14,0,19.88
"185",2000-09-15,0,18.56
"186",2000-09-18,0,18.93
"187",2000-09-19,0,19.56
"188",2000-09-20,0,17.83
"189",2000-09-21,0,18.39
"190",2000-09-22,0,17.79
"191",2000-09-25,0,18.78
"192",2000-09-26,0,19.88
"193",2000-09-27,0,21.26
"194",2000-09-28,0,19.21
"195",2000-09-29,0,20.13
"196",2000-10-02,0,20.13
"197",2000-10-03,0,19.64
"198",2000-10-04,0,19.19
"199",2000-10-05,0,19.22
"200",2000-10-06,0,19.22
"201",2000-10-09,1,15.99
"202",2000-10-10,0,17.6
"203",2000-10-11,0,20.2
"204",2000-10-12,0,17.96
"205",2000-10-13,0,29.25
"206",2000-10-16,0,28.8
"207",2000-10-17,1,33.78
"208",2000-10-18,1,32.48
"209",2000-10-19,0,30.99
"210",2000-10-20,1,32.42
"211",2000-10-23,0,31.63
"212",2000-10-24,0,32.13
"213",2000-10-25,1,41.52
"214",2000-10-26,1,42.91
"215",2000-10-27,1,49.66
"216",2000-10-30,1,88.9
"217",2000-10-31,1,74.3
"218",2000-11-01,1,64.77
"219",2000-11-02,1,63.55
"220",2000-11-03,1,58.84
"221",2000-11-06,1,47.01
"222",2000-11-07,0,31.72
"223",2000-11-08,1,33.85
"224",2000-11-09,0,31.36
"225",2000-11-10,0,30.2
"226",2000-11-13,0,27.39
"227",2000-11-14,0,28.62
"228",2000-11-15,0,28.64
"229",2000-11-16,0,25.07
"230",2000-11-17,0,27.43
"231",2000-11-20,0,28.64
"232",2000-11-21,0,30.26
"233",2000-11-22,0,24.86
"234",2000-11-23,0,24.08
"235",2000-11-24,0,28.15
"236",2000-11-27,0,21.89
"237",2000-11-28,0,20
"238",2000-11-29,0,20
"239",2000-11-30,0,22.72
"240",2000-12-01,0,22.72
"241",2000-12-04,0,22.48
"242",2000-12-05,0,22.48
"243",2000-12-06,0,25.62
"244",2000-12-07,0,29.74
"245",2000-12-08,0,29.54
"246",2000-12-11,0,25.41
"247",2000-12-12,0,21.42
"248",2000-12-13,0,23.55
"249",2000-12-14,0,31.3
"250",2000-12-15,0,30.99
"251",2000-12-18,0,28.4
"252",2000-12-19,0,25.16
"253",2000-12-20,0,25.16
"254",2000-12-21,0,25.16
"255",2000-12-22,0,25.16
"256",2000-12-25,0,25.16
"257",2000-12-26,0,25.16
"258",2000-12-27,0,25.16
"259",2000-12-28,0,25.16
"260",2000-12-29,0,25.16
"261",2001-01-01,0,25.16
"262",2001-01-02,0,25.16
"263",2001-01-03,0,23.61
"264",2001-01-04,0,26.92
"265",2001-01-05,0,25.86
"266",2001-01-08,0,22.97
"267",2001-01-09,0,21.59
"268",2001-01-10,0,22.59
"269",2001-01-11,0,23.46
"270",2001-01-12,0,22.36
"271",2001-01-15,0,22.43
"272",2001-01-16,0,23.63
"273",2001-01-17,0,21.65
"274",2001-01-18,0,22.28
"275",2001-01-19,0,23.85
"276",2001-01-22,0,18.05
"277",2001-01-23,0,17.27
"278",2001-01-24,0,17.27
"279",2001-01-25,0,17.27
"280",2001-01-26,0,17.27
"281",2001-01-29,0,20.63
"282",2001-01-30,0,19.83
"283",2001-01-31,0,18.33
"284",2001-02-01,0,18.33
"285",2001-02-02,0,14.42
"286",2001-02-05,0,15.57
"287",2001-02-06,0,15.83
"288",2001-02-07,0,16.24
"289",2001-02-08,0,16.24
"290",2001-02-09,0,16.29
"291",2001-02-12,0,16.29
"292",2001-02-13,0,13.92
"293",2001-02-14,0,14.13
"294",2001-02-15,0,15.26
"295",2001-02-16,0,15.26
"296",2001-02-19,0,14.98
"297",2001-02-20,0,14.51
"298",2001-02-21,0,14.16
"299",2001-02-22,0,14.27
"300",2001-02-23,0,14.77
"301",2001-02-26,0,14.28
"302",2001-02-27,0,14.25
"303",2001-02-28,0,13.44
"304",2001-03-01,0,13.01
"305",2001-03-02,0,13.31
"306",2001-03-05,0,13.45
"307",2001-03-06,0,13.56
"308",2001-03-07,0,13.65
"309",2001-03-08,0,13.34
"310",2001-03-09,0,13.54
"311",2001-03-12,0,12.87
"312",2001-03-13,0,12.87
"313",2001-03-14,0,12.87
"314",2001-03-15,0,12.87
"315",2001-03-16,0,12.87
"316",2001-03-19,0,12.87
"317",2001-03-20,0,12.87
"318",2001-03-21,0,12.36
"319",2001-03-22,0,12.88
"320",2001-03-23,0,22.46
"321",2001-03-26,0,22.46
"322",2001-03-27,0,22.46
"323",2001-03-28,0,22.46
"324",2001-03-29,0,22.46
"325",2001-03-30,0,22.46
"326",2001-04-02,0,16.78
"327",2001-04-03,0,17.35
"328",2001-04-04,0,17.35
"329",2001-04-05,0,17.35
"330",2001-04-06,0,17.35
"331",2001-04-09,0,19.12
"332",2001-04-10,0,19.65
"333",2001-04-11,0,19.22
"334",2001-04-12,0,17.77
"335",2001-04-13,0,17.77
"336",2001-04-16,0,17.77
"337",2001-04-17,0,17.51
"338",2001-04-18,0,18.58
"339",2001-04-19,0,16.3
"340",2001-04-20,0,16.3
"341",2001-04-23,0,16.3
"342",2001-04-24,0,14.74
"343",2001-04-25,0,15.06
"344",2001-04-26,0,14.72
"345",2001-04-27,0,15.47
"346",2001-04-30,0,15.94
"347",2001-05-01,0,15.94
"348",2001-05-02,0,15.66
"349",2001-05-03,0,15.66
"350",2001-05-04,0,16.22
"351",2001-05-07,0,16.89
"352",2001-05-08,0,16.89
"353",2001-05-09,0,16.05
"354",2001-05-10,0,16.05
"355",2001-05-11,0,15.39
"356",2001-05-14,0,13.63
"357",2001-05-15,0,13.68
"358",2001-05-16,0,13.12
"359",2001-05-17,0,13.18
"360",2001-05-18,0,12.74
"361",2001-05-21,0,12.74
"362",2001-05-22,0,12.74
"363",2001-05-23,0,13.33
"364",2001-05-24,0,12.26
"365",2001-05-25,0,11.49
"366",2001-05-28,0,12.28
"367",2001-05-29,0,12.28
"368",2001-05-30,0,12.25
"369",2001-05-31,0,11.89
"370",2001-06-01,0,11.32
"371",2001-06-04,0,11.31
"372",2001-06-05,0,11.43
"373",2001-06-06,0,11.26
"374",2001-06-07,0,11.23
"375",2001-06-08,0,11.23
"376",2001-06-11,0,11.23
"377",2001-06-12,0,12.31
"378",2001-06-13,0,12.3
"379",2001-06-14,0,14.2
"380",2001-06-15,0,14.2
"381",2001-06-18,0,13.01
"382",2001-06-19,0,13.03
"383",2001-06-20,0,13.03
"384",2001-06-21,0,12.6
"385",2001-06-22,0,14.43
"386",2001-06-25,0,13.31
"387",2001-06-26,0,13.31
"388",2001-06-27,0,13.31
"389",2001-06-28,0,13.22
"390",2001-06-29,0,13.72
"391",2001-07-02,0,13.72
"392",2001-07-03,0,13.72
"393",2001-07-04,0,12.09
"394",2001-07-05,0,13.15
"395",2001-07-06,0,12.85
"396",2001-07-09,0,12.7
"397",2001-07-10,0,12.5
"398",2001-07-11,0,12.5
"399",2001-07-12,0,12.5
"400",2001-07-13,0,14.66
"401",2001-07-16,0,14.82
"402",2001-07-17,0,19.59
"403",2001-07-18,0,16.78
"404",2001-07-19,0,18.69
"405",2001-07-20,0,18
"406",2001-07-23,0,15.92
"407",2001-07-24,0,15.92
"408",2001-07-25,0,16.33
"409",2001-07-26,0,14.19
"410",2001-07-27,0,11
"411",2001-07-30,0,11.6
"412",2001-07-31,0,11.55
"413",2001-08-01,0,12.15
"414",2001-08-02,0,11.81
"415",2001-08-03,0,10.8
"416",2001-08-06,0,10.8
