"","date","indicator","X1Y","X2Y","X3Y","X4Y","X5Y","X7Y","X10Y"
"1",2006-12-06,0,4.95,4.845,4.88,4.905,4.96,5.015,5.105
"2",2006-12-07,0,4.935,4.845,4.865,4.905,4.945,5.015,5.1
"3",2006-12-08,0,4.96,4.855,4.89,4.95,4.985,5.065,5.14
"4",2006-12-11,0,4.96,4.855,4.89,4.95,4.985,5.065,5.14
"5",2006-12-12,0,4.97,4.875,4.895,4.955,4.99,5.065,5.14
"6",2006-12-13,0,4.97,4.875,4.895,4.955,4.99,5.065,5.14
"7",2006-12-14,0,4.985,4.885,4.925,4.96,5,5.065,5.14
"8",2006-12-15,0,4.985,4.885,4.925,4.96,5,5.065,5.14
"9",2006-12-18,0,4.985,4.885,4.925,4.96,5,5.065,5.14
"10",2006-12-19,0,5.24,5.265,5.28,5.33,5.355,5.45,5.5
"11",2006-12-20,0,5.23,5.13,5.19,5.225,5.28,5.34,5.44
"12",2006-12-21,0,5.225,5.11,5.125,5.2,5.22,5.31,5.37
"13",2006-12-22,0,5.19,5.085,5.12,5.17,5.2,5.295,5.365
"14",2006-12-25,0,5.19,5.085,5.12,5.17,5.2,5.295,5.365
"15",2006-12-26,0,5.15,5.16,5.165,5.24,5.315,5.37,5.425
"16",2006-12-27,0,5.18,5.24,5.15,5.315,5.35,5.465,5.54
"17",2006-12-28,0,5.215,5.22,5.24,5.285,5.345,5.445,5.585
"18",2006-12-29,0,5.24,5.21,5.255,5.315,5.36,5.47,5.57
"19",2007-01-01,0,5.24,5.21,5.255,5.315,5.36,5.47,5.57
"20",2007-01-02,0,5.225,5.185,5.215,5.275,5.315,5.435,5.545
"21",2007-01-03,0,5.175,5.135,5.165,5.18,5.25,5.345,5.48
"22",2007-01-04,0,5.215,5.2,5.22,5.26,5.32,5.42,5.56
"23",2007-01-05,0,5.1,4.97,5.01,5.1025,5.1425,5.2525,5.3525
"24",2007-01-08,0,4.945,4.845,4.88,4.925,4.97,5.075,5.185
"25",2007-01-09,0,4.975,4.85,4.855,4.9,4.96,5.06,5.195
"26",2007-01-10,0,5.025,4.89,4.91,4.965,5.01,5.1,5.225
"27",2007-01-11,0,5.025,4.89,4.91,4.965,5.01,5.125,5.225
"28",2007-01-12,0,5.025,4.88,4.885,4.94,4.995,5.1,5.205
"29",2007-01-15,0,5.02,4.91,4.92,4.96,5.04,5.1375,5.2475
"30",2007-01-16,0,4.975,4.87,4.89,4.94,4.98,5.135,5.23
"31",2007-01-17,0,4.85,4.745,4.765,4.825,4.87,4.94,5.06
"32",2007-01-18,0,4.725,4.63,4.655,4.72,4.75,4.835,4.94
"33",2007-01-19,0,4.745,4.62,4.645,4.68,4.715,4.8175,4.94
"34",2007-01-22,0,4.785,4.705,4.695,4.72,4.78,4.86,4.96
"35",2007-01-23,0,4.785,4.64,4.675,4.71,4.74,4.82,4.92
