"","date","indicator","X1W","X1M","X2M","X3M","X6M"
"1",2005-11-28,0,4.0001,4.2093,4.3984,4.481,4.7177
"2",2005-11-29,0,4.1096,4.2817,4.3809,4.4749,4.7411
"3",2005-11-30,0,4.0831,4.3209,4.3976,4.4842,4.7842
"4",2005-12-01,1,3.1393,4.3365,4.4156,4.5126,4.8058
"5",2005-12-02,0,4.117,4.3719,4.4405,4.5238,4.8374
"6",2005-12-05,0,4.117,4.3719,4.4405,4.5238,4.8374
"7",2005-12-06,0,4.2427,4.4665,4.5026,4.5586,4.8395
"8",2005-12-07,0,4.2896,4.5181,4.551,4.5954,4.825
"9",2005-12-08,0,4.3344,4.5351,4.5768,4.6297,4.8354
"10",2005-12-09,0,4.2992,4.4761,4.5208,4.575,4.7657
"11",2005-12-12,0,4.2992,4.4761,4.5208,4.575,4.7657
"12",2005-12-13,0,4.2975,4.5084,4.5672,4.6162,4.8183
"13",2005-12-14,0,4.3142,4.5392,4.5825,4.6375,4.8211
"14",2005-12-15,0,4.3033,4.4953,4.5233,4.5928,4.7765
"15",2005-12-16,0,4.2849,4.464,4.5217,4.5969,4.771
"16",2005-12-19,0,4.2849,4.469,4.5343,4.5984,4.7759
"17",2005-12-20,0,4.2865,4.4647,4.5258,4.5854,4.7753
"18",2005-12-21,0,4.2751,4.4697,4.5357,4.5902,4.7804
"19",2005-12-22,0,4.4342,4.5303,4.6132,4.6569,4.8721
"20",2005-12-23,0,4.4421,4.5427,4.6172,4.6693,4.8611
"21",2005-12-26,0,4.4441,4.4878,4.5554,4.6043,4.8024
"22",2005-12-27,0,4.5058,4.6123,4.6469,4.6806,4.878
"23",2005-12-28,0,4.4991,4.5443,4.6098,4.6594,4.8642
"24",2005-12-29,0,4.3791,4.5839,4.6404,4.6896,4.8544
"25",2005-12-30,0,4.2949,4.4836,4.5582,4.6128,4.7818
"26",2006-01-02,0,4.2949,4.4836,4.5582,4.6128,4.7818
"27",2006-01-03,0,4.3673,4.5368,4.6258,4.6805,4.85
"28",2006-01-04,0,4.2946,4.4633,4.5448,4.6033,4.7738
