"","X1Y","X2Y","X3Y","X4Y","X5Y","X7Y","X10Y","X12Y","X15Y"
"2006-10-04",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-05",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-06",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-09",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-10",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-11",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-12",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-13",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-16",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-17",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-18",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-19",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-20",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-23",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-24",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-25",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-26",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-27",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-30",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-10-31",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-11-01",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
"2006-11-02",1.785,1.865,1.955,2.015,2.095,2.205,2.325,2.345,2.425
