"","Date","Tenor","Original","Interpolated"
"1",2010-02-19,"X2Y",0.17,0.979404972357576
"2",2009-09-01,"X12Y",0.975,2.1633168925312
"3",2009-09-02,"X12Y",0.975,2.16413561788749
"4",2009-09-03,"X12Y",0.975,2.16559976048451
"5",2009-09-08,"X12Y",0.975,2.17534063523275
"6",2009-09-10,"X12Y",0.975,2.19329324241044
"7",2009-09-15,"X12Y",0.975,2.22287166402645
"8",2009-09-16,"X12Y",0.975,2.22876172545433
"9",2009-09-18,"X12Y",0.975,2.22790290713774
"10",2009-09-21,"X12Y",0.975,2.2213156616029
"11",2008-04-28,"X15Y",3.98,3.04130470074798
"12",2012-07-26,"X15Y",1.355,2.355
