Date,10D,30D,60D,90D,120D,150D,180D
7/9/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
7/8/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
7/7/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
7/5/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
7/4/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
7/3/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
7/2/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
7/1/2014,0.7,0.7443,0.7559,0.795,0.8593,0.8907,0.9386
6/30/2014,0.7222,0.7622,0.7903,0.8244,0.8857,0.9157,0.9707
6/28/2014,0.6725,0.7158,0.7257,0.7629,0.842,0.87,0.92
6/27/2014,0.6725,0.7158,0.7257,0.7629,0.842,0.87,0.92
6/26/2014,0.7222,0.7594,0.7903,0.8213,0.8821,0.9086,0.9636
6/25/2014,0.73,0.7719,0.7903,0.8244,0.8821,0.9086,0.9636
6/24/2014,0.7222,0.7594,0.7903,0.8213,0.8821,0.9086,0.9636
6/23/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
6/21/2014,0.7222,0.7622,0.7903,0.8244,0.8857,0.9157,0.9707
6/20/2014,0.7222,0.7622,0.7903,0.8244,0.8857,0.9157,0.9707
6/19/2014,0.7222,0.7594,0.7903,0.8231,0.8843,0.9086,0.9636
6/18/2014,0.7222,0.7594,0.7903,0.8213,0.8821,0.9086,0.9636
6/17/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
6/16/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
6/14/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
6/13/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
6/12/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
6/11/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
6/10/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
6/9/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
6/7/2014,0.7281,0.77,0.7881,0.8208,0.8993,0.9221,0.9771
6/6/2014,0.7281,0.77,0.7881,0.8208,0.8993,0.9221,0.9771
6/5/2014,0.7286,0.7643,0.7919,0.8213,0.8821,0.9086,0.9636
6/4/2014,0.7358,0.7792,0.8064,0.8393,0.8908,0.9133,0.9692
6/3/2014,0.7281,0.77,0.7881,0.8167,0.8908,0.9133,0.9692
6/2/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9713
5/31/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9713
5/30/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9713
5/29/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
5/28/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
5/27/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
5/26/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
5/24/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
5/23/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
5/22/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9713
5/21/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
5/20/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
5/19/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
5/17/2014,0.7222,0.7622,0.7903,0.8244,0.8857,0.9157,0.9707
5/16/2014,0.7222,0.7622,0.7903,0.8244,0.8857,0.9157,0.9707
5/15/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
5/14/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
5/13/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
5/12/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
5/10/2014,0.7,0.7407,0.7559,0.795,0.8733,0.8975,0.9533
5/9/2014,0.7,0.7407,0.7559,0.795,0.8733,0.8975,0.9533
5/8/2014,0.7125,0.7544,0.7692,0.8081,0.8775,0.9058,0.9617
5/7/2014,0.7222,0.7594,0.7903,0.8213,0.8821,0.9086,0.9636
5/6/2014,0.7222,0.7594,0.7903,0.8213,0.8821,0.9086,0.9636
5/5/2014,0.7125,0.7544,0.7692,0.805,0.875,0.9058,0.9617
5/3/2014,0.7125,0.7512,0.7692,0.805,0.8821,0.9086,0.9636
5/2/2014,0.7125,0.7512,0.7692,0.805,0.8821,0.9086,0.9636
5/1/2014,0.7125,0.7512,0.7692,0.805,0.8821,0.9086,0.9636
4/30/2014,0.7125,0.7512,0.7692,0.805,0.8821,0.9086,0.9636
4/29/2014,0.7222,0.7594,0.7903,0.8213,0.8821,0.9086,0.9636
4/28/2014,0.7222,0.7594,0.7903,0.8213,0.8821,0.9086,0.9636
4/26/2014,0.7222,0.7594,0.7903,0.8213,0.8821,0.9086,0.9636
4/25/2014,0.7222,0.7594,0.7903,0.8213,0.8821,0.9086,0.9636
4/24/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
4/23/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
4/22/2014,0.7188,0.7512,0.7803,0.8133,0.8656,0.895,0.9494
4/21/2014,0.7375,0.7719,0.7997,0.83,0.8906,0.9169,0.9712
4/19/2014,0.7361,0.7761,0.8116,0.8375,0.8993,0.9221,0.9771
