"","date","indicator","X10D","X30D","X60D","X90D","X120D","X150D","X180D"
"1",2000-04-12,0,4.7681,4.8139,4.8625,4.9083,4.9708,5.0167,5.0625
"2",2000-04-13,0,4.7681,4.8139,4.8625,4.9083,4.9708,5.0167,5.0625
"3",2000-04-14,0,4.7653,4.8111,4.8611,4.9083,4.9681,5.0167,5.0594
"4",2000-04-15,0,4.7653,4.8111,4.8611,4.9083,4.9681,5.0167,5.0594
"5",2000-04-17,0,4.7613,4.8075,4.8575,4.9025,4.9609,5.0062,5.05
"6",2000-04-18,0,4.7681,4.8139,4.8625,4.9083,4.9708,5.0167,5.0625
"7",2000-04-19,0,4.7597,4.8111,4.8583,4.9056,4.9681,5.0125,5.0609
"8",2000-04-20,0,4.7613,4.8075,4.8575,4.9025,4.9609,5.0062,5.05
"9",2000-04-21,0,4.7653,4.8111,4.8611,4.9083,4.9708,5.0139,5.0563
"10",2000-04-22,0,4.7653,4.8111,4.8611,4.9083,4.9708,5.0139,5.0563
"11",2000-04-24,0,4.7562,4.8203,4.875,4.9234,4.9781,5.0188,5.0667
"12",2000-04-25,0,4.7477,4.808,4.8602,4.9063,4.9563,4.9889,5.025
"13",2000-04-26,0,4.74,4.805,4.8637,4.9037,4.9594,4.9922,5.0361
"14",2000-04-27,0,4.7583,4.8181,4.8694,4.9125,4.9694,4.9944,5.0281
"15",2000-04-28,0,4.7906,4.8359,4.8797,4.9234,4.9906,5.0188,5.0222
"16",2000-04-29,0,4.7906,4.8359,4.8797,4.9234,4.9906,5.0188,5.0222
"17",2000-05-01,0,4.7906,4.8359,4.8797,4.9234,4.9906,5.0188,5.0222
"18",2000-05-02,0,4.7688,4.8328,4.8797,4.9187,4.9828,5.0156,5.0236
"19",2000-05-03,0,4.7562,4.8141,4.8672,4.9125,4.9672,4.9969,5.0236
"20",2000-05-04,0,4.7778,4.8347,4.8792,4.9194,4.9764,5.0055,5.0141
"21",2000-05-05,0,4.7906,4.8422,4.8875,4.9281,4.9797,5.025,5.0236
"22",2000-05-06,0,4.7906,4.8422,4.8875,4.9281,4.9797,5.025,5.0236
"23",2000-05-08,0,4.7475,4.82,4.865,4.9055,4.9547,4.9997,5.0042
"24",2000-05-09,0,4.7361,4.8111,4.8583,4.8972,4.9472,4.9886,4.9922
"25",2000-05-10,0,4.7986,4.85,4.8875,4.9278,4.9847,5.0164,5.0234
"26",2000-05-11,0,4.7986,4.85,4.8875,4.9278,4.9847,5.0164,5.0234
"27",2000-05-12,0,4.8028,4.8528,4.8875,4.9278,4.9625,4.9997,5.0203
"28",2000-05-13,0,4.8028,4.8528,4.8875,4.9278,4.9625,4.9997,5.0203
"29",2000-05-15,0,4.8194,4.8639,4.8931,4.9319,4.9764,5.0067,5.0266
"30",2000-05-16,0,4.925,4.9594,4.9828,5.0109,5.0625,5.0825,5.1042
"31",2000-05-17,0,4.9083,4.9361,4.9542,4.9861,5.0347,5.0539,5.0703
"32",2000-05-18,0,4.9083,4.9361,4.9542,4.9861,5.0347,5.0539,5.0703
"33",2000-05-19,0,4.8667,4.9056,4.9444,4.9819,5.0375,5.0625,5.0797
"34",2000-05-20,0,4.8667,4.9056,4.9444,4.9819,5.0375,5.0625,5.0797
"35",2000-05-22,0,4.8667,4.9111,4.9597,5.0014,5.0569,5.0875,5.1062
"36",2000-05-23,0,4.8688,4.9016,4.9437,4.9906,5.0422,5.0708,5.0986
"37",2000-05-24,0,4.86,4.9012,4.9475,4.9938,5.0391,5.0734,5.0847
"38",2000-05-25,0,4.9182,4.95,4.975,5.0091,5.0403,5.0844,5.1
"39",2000-05-26,0,4.9341,4.9607,4.99,5.0295,5.0611,5.1125,5.1361
"40",2000-05-27,0,4.9341,4.9607,4.99,5.0295,5.0611,5.1125,5.1361
"41",2000-05-29,0,4.9545,4.9818,5.0159,5.0568,5.0889,5.1194,5.15
"42",2000-05-30,0,4.9444,4.975,5.0139,5.0556,5.0861,5.1194,5.1531
"43",2000-05-31,0,4.95,4.975,5.0275,5.0487,5.1016,5.15,5.1667
"44",2000-06-01,0,4.9361,4.9805,5.0361,5.0542,5.1153,5.15,5.1719
"45",2000-06-02,0,4.9167,4.9719,5.0281,5.0469,5.1141,5.15,5.15
"46",2000-06-03,0,4.9167,4.9719,5.0281,5.0469,5.1141,5.15,5.15
"47",2000-06-05,0,4.8889,4.9375,5,5.0469,5.0969,5.1312,5.1417
"48",2000-06-06,0,4.8889,4.9375,5,5.0469,5.0969,5.1312,5.1417
"49",2000-06-07,0,4.9222,4.95,4.9972,5.0347,5.0833,5.1139,5.1312
"50",2000-06-08,0,4.9222,4.95,4.9972,5.0347,5.0833,5.1139,5.1312
"51",2000-06-09,0,4.9583,4.9778,5.0222,5.0597,5.1571,5.1821,5.1906
"52",2000-06-10,0,4.9583,4.9778,5.0222,5.0597,5.1571,5.1821,5.1906
