Index,Indicator,Up,Down,Forecasts,ar,ma,p,q
1952-01-07,-1,0,-1,-0.000256474330012333,2,5,1,1
1952-01-08,1,1,0,0.00182324483061105,5,3,1,1
1952-01-09,1,1,0,0.000604961086522484,5,4,1,1
1952-01-10,1,1,0,0.000715818364884095,5,0,1,1
1952-01-11,1,1,0,0.00179302442287756,5,2,1,1
1952-01-14,1,1,0,0.000136451463290711,4,2,1,1
1952-01-15,1,1,0,0.0011370473063458,3,2,1,1
1952-01-16,1,1,0,0.000831890627516088,2,5,1,1
1952-01-17,-1,0,-1,-0.000108990357418295,2,5,1,1
1952-01-18,1,1,0,0.00109142598612536,3,5,1,1
1952-01-21,-1,0,-1,-0.00117479059938773,3,5,1,1
1952-01-22,1,1,0,0.00144099902898396,2,5,1,1
1952-01-23,1,1,0,0.00158429815501592,2,5,1,1
1952-01-24,-1,0,-1,-0.000113880090958499,4,2,1,1
1952-01-25,1,1,0,0.000742205352461587,2,3,1,1
1952-01-28,1,1,0,0.000605617251727221,2,3,1,1
1952-01-29,-1,0,-1,-3.21239675479301e-05,2,5,1,1
1952-01-30,1,1,0,0.000984094969295058,2,5,1,1
1952-01-31,1,1,0,0.00112448944879885,2,5,1,1
1952-02-01,1,1,0,0.00280843552417346,2,5,1,1
1952-02-04,1,1,0,0.00239735901068598,5,1,1,1
1952-02-05,1,1,0,0.000515427214025367,5,4,1,1
1952-02-06,1,1,0,0.000933284968337182,2,2,1,1
1952-02-07,1,1,0,0.00342328428492612,3,5,1,1
1952-02-08,-1,0,-1,-0.000533989861147487,5,0,1,1
1952-02-11,1,1,0,0.00117503383880629,2,5,1,1
1952-02-13,1,1,0,0.000716988208216005,4,1,1,1
1952-02-14,1,1,0,8.34833868668789e-06,5,0,1,1
1952-02-15,1,1,0,0.00296741839854173,2,5,1,1
1952-02-18,1,1,0,0.00194366620863422,2,5,1,1
1952-02-19,1,1,0,0.000336421903307965,2,5,1,1
1952-02-20,-1,0,-1,-0.000198942770212153,2,5,1,1
1952-02-21,1,1,0,0.00128714787526325,2,5,1,1
1952-02-25,1,1,0,0.00240568465689054,2,5,1,1
1952-02-26,1,1,0,0.000550747096378594,2,0,1,1
1952-02-27,1,1,0,0.000314796333548264,5,2,1,1
1952-02-28,1,1,0,0.00242656899624192,5,2,1,1
1952-02-29,1,1,0,0.00133625602294643,2,5,1,1
1952-03-03,1,1,0,0.000561372212188099,5,3,1,1
1952-03-04,1,1,0,0.000777740218791724,0,4,1,1
1952-03-05,1,1,0,0.00247519484425882,2,5,1,1
1952-03-06,-1,0,-1,-0.00255298604184454,3,5,1,1
1952-03-07,1,1,0,0.000888358083113163,5,3,1,1
1952-03-10,1,1,0,0.000900535030355858,3,5,1,1
1952-03-11,-1,0,-1,-0.00187078760223242,2,5,1,1
1952-03-12,1,1,0,0.00116574852794327,0,4,1,1
1952-03-13,1,1,0,0.00147132474349744,2,5,1,1
1952-03-14,1,1,0,0.0010374645885682,2,5,1,1
1952-03-17,1,1,0,0.00118444500478525,2,5,1,1
1952-03-18,1,1,0,0.0012473499203569,2,5,1,1
1952-03-19,-1,0,-1,-0.00141000775235187,2,5,1,1
1952-03-20,-1,0,-1,-8.88415705654899e-08,3,5,1,1
1952-03-21,1,1,0,0.00104082818364074,2,0,1,1
1952-03-24,1,1,0,0.000421446187958644,2,0,1,1
1952-03-25,1,1,0,0.000618731515593415,2,5,1,1
1952-03-26,1,1,0,0.000425197106353593,5,0,1,1
1952-03-27,1,1,0,0.00143582136534897,2,2,1,1
1952-03-28,1,1,0,0.000750593706586397,4,2,1,1
1952-03-31,1,1,0,0.000728746427094494,2,3,1,1
1952-04-01,1,1,0,0.00107268461752476,2,5,1,1
1952-04-02,-1,0,-1,-0.000396923417830535,2,2,1,1
1952-04-03,1,1,0,0.000812185946522677,2,5,1,1
1952-04-04,1,1,0,0.00112046547522538,0,3,1,1
1952-04-07,-1,0,-1,-0.000488364847243066,5,3,1,1
